ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,2.534,2.541,2.418,2.492,236565.9
2025-11-04 08:00:00+00:00,2.492,2.584,2.474,2.567,165956.94
2025-11-04 12:00:00+00:00,2.567,2.641,2.547,2.577,147131.14
2025-11-04 16:00:00+00:00,2.577,2.597,2.436,2.457,234818.35
2025-11-04 20:00:00+00:00,2.457,2.553,2.347,2.506,341787.99
2025-11-05 00:00:00+00:00,2.506,2.554,2.406,2.549,172946.51
2025-11-05 04:00:00+00:00,2.549,2.616,2.544,2.612,94165.3
2025-11-05 08:00:00+00:00,2.612,2.612,2.55,2.605,85616.45
2025-11-05 12:00:00+00:00,2.605,2.669,2.588,2.669,108109.14
2025-11-05 16:00:00+00:00,2.669,2.681,2.634,2.675,84698.41
2025-11-05 20:00:00+00:00,2.675,2.686,2.652,2.667,62034.18
2025-11-06 00:00:00+00:00,2.667,2.672,2.611,2.644,48833.2
2025-11-06 04:00:00+00:00,2.644,2.646,2.571,2.58,93632.07
2025-11-06 08:00:00+00:00,2.58,2.601,2.571,2.592,62719.05
2025-11-06 12:00:00+00:00,2.592,2.63,2.55,2.564,117050.13
2025-11-06 16:00:00+00:00,2.564,2.648,2.533,2.632,114679.77
2025-11-06 20:00:00+00:00,2.632,2.679,2.613,2.648,103097.52
2025-11-07 00:00:00+00:00,2.648,2.727,2.646,2.716,146470.38
2025-11-07 04:00:00+00:00,2.716,2.795,2.691,2.788,107901.33
2025-11-07 08:00:00+00:00,2.788,2.804,2.718,2.753,192967.74
2025-11-07 12:00:00+00:00,2.753,2.872,2.684,2.865,220575.68
2025-11-07 16:00:00+00:00,2.865,3.177,2.839,3.091,408542.77
2025-11-07 20:00:00+00:00,3.091,3.14,3.034,3.05,148411.1
2025-11-08 00:00:00+00:00,3.05,3.156,3.026,3.039,174859.27
2025-11-08 04:00:00+00:00,3.039,3.085,2.96,2.995,159761.16
2025-11-08 08:00:00+00:00,2.995,3.033,2.959,3.012,103720.28
2025-11-08 12:00:00+00:00,3.012,3.019,2.901,2.916,142086.58
2025-11-08 16:00:00+00:00,2.916,2.956,2.89,2.927,70563.92
2025-11-08 20:00:00+00:00,2.927,2.957,2.915,2.953,44188.57
2025-11-09 00:00:00+00:00,2.953,2.955,2.834,2.854,84537.51
2025-11-09 04:00:00+00:00,2.854,2.905,2.854,2.9,54661.66
2025-11-09 08:00:00+00:00,2.9,2.93,2.844,2.917,415803.86
2025-11-09 12:00:00+00:00,2.917,2.98,2.891,2.969,125485.69
2025-11-09 16:00:00+00:00,2.969,3.0,2.931,2.999,82345.92
2025-11-09 20:00:00+00:00,2.999,3.003,2.951,2.972,57894.1
2025-11-10 00:00:00+00:00,2.972,3.025,2.95,3.011,72162.02
2025-11-10 04:00:00+00:00,3.011,3.035,2.991,3.009,59142.13
2025-11-10 08:00:00+00:00,3.009,3.071,2.975,3.056,86977.35
2025-11-10 12:00:00+00:00,3.056,3.108,3.008,3.065,161171.58
2025-11-10 16:00:00+00:00,3.065,3.087,3.026,3.061,89895.72
2025-11-10 20:00:00+00:00,3.061,3.155,3.056,3.109,77379.45
2025-11-11 00:00:00+00:00,3.109,3.157,3.048,3.113,110123.37
2025-11-11 04:00:00+00:00,3.113,3.129,3.001,3.005,108906.68
2025-11-11 08:00:00+00:00,3.005,3.047,2.999,3.024,55392.95
2025-11-11 12:00:00+00:00,3.024,3.071,2.988,3.052,111536.01
2025-11-11 16:00:00+00:00,3.052,3.079,2.98,2.983,73753.81
2025-11-11 20:00:00+00:00,2.983,2.995,2.937,2.941,55263.8
2025-11-12 00:00:00+00:00,2.941,2.988,2.922,2.977,47894.63
2025-11-12 04:00:00+00:00,2.977,3.009,2.954,2.975,54062.76
2025-11-12 08:00:00+00:00,2.975,3.071,2.975,3.06,55962.73
2025-11-12 12:00:00+00:00,3.06,3.114,2.94,2.951,143158.54
2025-11-12 16:00:00+00:00,2.951,2.959,2.862,2.888,92332.47
2025-11-12 20:00:00+00:00,2.888,2.927,2.881,2.891,37815.13
2025-11-13 00:00:00+00:00,2.891,3.0,2.886,2.982,56951.93
2025-11-13 04:00:00+00:00,2.982,3.006,2.955,2.959,58415.13
2025-11-13 08:00:00+00:00,2.959,2.974,2.931,2.945,38796.74
2025-11-13 12:00:00+00:00,2.945,3.016,2.934,2.952,82182.12
2025-11-13 16:00:00+00:00,2.952,2.965,2.768,2.784,106393.14
2025-11-13 20:00:00+00:00,2.784,2.894,2.768,2.866,64924.58
2025-11-14 00:00:00+00:00,2.866,2.9,2.83,2.844,63725.92
2025-11-14 04:00:00+00:00,2.844,2.914,2.763,2.887,120410.57
2025-11-14 08:00:00+00:00,2.887,2.887,2.782,2.797,76827.82
2025-11-14 12:00:00+00:00,2.797,2.882,2.75,2.861,141073.7
2025-11-14 16:00:00+00:00,2.861,2.911,2.84,2.891,66324.44
2025-11-14 20:00:00+00:00,2.891,2.899,2.766,2.8,54690.93
2025-11-15 00:00:00+00:00,2.8,2.891,2.797,2.887,44006.1
2025-11-15 04:00:00+00:00,2.887,2.999,2.883,2.96,99568.84
2025-11-15 08:00:00+00:00,2.96,2.966,2.866,2.876,77342.86
2025-11-15 12:00:00+00:00,2.876,2.988,2.87,2.892,79442.42
2025-11-15 16:00:00+00:00,2.892,2.909,2.863,2.885,42066.3
2025-11-15 20:00:00+00:00,2.885,2.889,2.836,2.855,26479.43
2025-11-16 00:00:00+00:00,2.855,2.877,2.805,2.857,31259.94
2025-11-16 04:00:00+00:00,2.857,2.88,2.833,2.872,22056.97
