ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,16.9,17.01,15.97,16.16,319825.55
2025-11-04 08:00:00+00:00,16.16,16.81,16.09,16.74,160242.82
2025-11-04 12:00:00+00:00,16.74,16.85,16.33,16.41,216667.04
2025-11-04 16:00:00+00:00,16.41,16.49,15.32,15.59,400879.31
2025-11-04 20:00:00+00:00,15.59,16.19,15.01,15.99,604463.56
2025-11-05 00:00:00+00:00,15.99,16.48,15.28,16.44,253560.29
2025-11-05 04:00:00+00:00,16.44,16.63,16.32,16.54,125531.05
2025-11-05 08:00:00+00:00,16.54,16.59,16.23,16.56,110677.19
2025-11-05 12:00:00+00:00,16.56,16.81,16.47,16.77,150357.59
2025-11-05 16:00:00+00:00,16.77,17.0,16.57,16.77,167130.83
2025-11-05 20:00:00+00:00,16.77,16.85,16.55,16.6,242339.98
2025-11-06 00:00:00+00:00,16.6,16.7,16.37,16.64,118106.98
2025-11-06 04:00:00+00:00,16.64,16.73,16.22,16.29,105280.88
2025-11-06 08:00:00+00:00,16.29,16.44,16.2,16.29,101351.51
2025-11-06 12:00:00+00:00,16.29,16.42,15.79,15.86,207993.94
2025-11-06 16:00:00+00:00,15.86,16.18,15.6,16.13,182373.43
2025-11-06 20:00:00+00:00,16.13,16.22,15.93,16.12,122962.22
2025-11-07 00:00:00+00:00,16.12,16.52,16.05,16.46,123555.01
2025-11-07 04:00:00+00:00,16.46,16.94,16.33,16.93,116467.98
2025-11-07 08:00:00+00:00,16.93,17.03,16.29,16.46,233102.02
2025-11-07 12:00:00+00:00,16.46,16.88,16.08,16.82,327501.69
2025-11-07 16:00:00+00:00,16.82,17.97,16.75,17.82,527094.71
2025-11-07 20:00:00+00:00,17.82,18.07,17.66,17.74,407619.23
2025-11-08 00:00:00+00:00,17.74,18.41,17.67,17.83,226509.17
2025-11-08 04:00:00+00:00,17.83,18.07,17.56,17.87,131038.23
2025-11-08 08:00:00+00:00,17.87,18.0,17.66,17.79,114383.65
2025-11-08 12:00:00+00:00,17.79,17.79,17.1,17.13,171071.02
2025-11-08 16:00:00+00:00,17.13,17.38,17.02,17.29,215310.49
2025-11-08 20:00:00+00:00,17.29,17.5,17.24,17.5,59919.49
2025-11-09 00:00:00+00:00,17.5,17.53,16.81,16.9,119197.31
2025-11-09 04:00:00+00:00,16.9,17.14,16.88,17.14,73236.15
