ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,2.651,2.663,2.506,2.533,553702.26
2025-11-04 08:00:00+00:00,2.533,2.638,2.518,2.611,330958.93
2025-11-04 12:00:00+00:00,2.611,2.654,2.558,2.6,343412.44
2025-11-04 16:00:00+00:00,2.6,2.62,2.42,2.457,728272.26
2025-11-04 20:00:00+00:00,2.457,2.527,2.344,2.507,1006240.49
2025-11-05 00:00:00+00:00,2.507,2.577,2.384,2.569,361542.19
2025-11-05 04:00:00+00:00,2.569,2.592,2.547,2.591,236512.76
2025-11-05 08:00:00+00:00,2.591,2.61,2.535,2.607,288979.1
2025-11-05 12:00:00+00:00,2.607,2.636,2.575,2.633,352708.59
2025-11-05 16:00:00+00:00,2.633,2.656,2.599,2.642,288320.31
2025-11-05 20:00:00+00:00,2.642,2.678,2.636,2.672,253322.15
2025-11-06 00:00:00+00:00,2.672,2.683,2.616,2.658,284601.72
2025-11-06 04:00:00+00:00,2.658,2.668,2.594,2.604,167684.6
2025-11-06 08:00:00+00:00,2.604,2.621,2.584,2.616,163178.15
2025-11-06 12:00:00+00:00,2.616,2.652,2.559,2.575,478465.33
2025-11-06 16:00:00+00:00,2.575,2.663,2.529,2.657,374204.83
2025-11-06 20:00:00+00:00,2.657,2.673,2.624,2.669,336538.74
2025-11-07 00:00:00+00:00,2.669,2.823,2.664,2.796,1134154.37
2025-11-07 04:00:00+00:00,2.796,2.861,2.743,2.853,498421.96
2025-11-07 08:00:00+00:00,2.853,2.859,2.745,2.785,688102.66
2025-11-07 12:00:00+00:00,2.785,2.909,2.706,2.891,782015.28
2025-11-07 16:00:00+00:00,2.891,3.34,2.88,3.264,2159041.26
2025-11-07 20:00:00+00:00,3.264,3.297,3.193,3.253,669557.96
2025-11-08 00:00:00+00:00,3.253,3.532,3.19,3.371,1695869.46
2025-11-08 04:00:00+00:00,3.371,3.439,3.221,3.255,882405.43
2025-11-08 08:00:00+00:00,3.255,3.317,3.209,3.276,540554.4
2025-11-08 12:00:00+00:00,3.276,3.291,3.118,3.126,706477.08
2025-11-08 16:00:00+00:00,3.126,3.231,3.088,3.162,412711.83
2025-11-08 20:00:00+00:00,3.162,3.256,3.147,3.253,245135.96
2025-11-09 00:00:00+00:00,3.253,3.31,3.125,3.131,646364.77
2025-11-09 04:00:00+00:00,3.131,3.169,3.086,3.146,380707.71
2025-11-09 08:00:00+00:00,3.146,3.173,3.039,3.145,389080.32
2025-11-09 12:00:00+00:00,3.145,3.264,3.128,3.238,503742.31
2025-11-09 16:00:00+00:00,3.238,3.252,3.158,3.225,404645.69
2025-11-09 20:00:00+00:00,3.225,3.247,3.179,3.232,253956.25
2025-11-10 00:00:00+00:00,3.232,3.273,3.201,3.258,352850.76
2025-11-10 04:00:00+00:00,3.258,3.282,3.215,3.259,356754.99
2025-11-10 08:00:00+00:00,3.259,3.279,3.194,3.256,432671.49
2025-11-10 12:00:00+00:00,3.256,3.317,3.158,3.17,706321.55
2025-11-10 16:00:00+00:00,3.17,3.254,3.125,3.225,620149.63
2025-11-10 20:00:00+00:00,3.225,3.307,3.195,3.267,318554.46
2025-11-11 00:00:00+00:00,3.267,3.387,3.217,3.313,520964.8
2025-11-11 04:00:00+00:00,3.313,3.325,3.146,3.149,336012.83
2025-11-11 08:00:00+00:00,3.149,3.2,3.138,3.168,402629.84
2025-11-11 12:00:00+00:00,3.168,3.219,3.153,3.187,321547.85
2025-11-11 16:00:00+00:00,3.187,3.224,3.121,3.127,275068.64
2025-11-11 20:00:00+00:00,3.127,3.136,3.042,3.055,363146.1
2025-11-12 00:00:00+00:00,3.055,3.093,3.037,3.086,193766.95
2025-11-12 04:00:00+00:00,3.086,3.105,3.055,3.059,126723.18
2025-11-12 08:00:00+00:00,3.059,3.146,3.059,3.09,415926.78
2025-11-12 12:00:00+00:00,3.09,3.123,2.95,2.966,598981.98
2025-11-12 16:00:00+00:00,2.966,2.973,2.875,2.902,564492.98
2025-11-12 20:00:00+00:00,2.902,2.94,2.894,2.927,166645.76
2025-11-13 00:00:00+00:00,2.927,3.01,2.913,2.989,178295.36
2025-11-13 04:00:00+00:00,2.989,3.045,2.969,2.977,229089.01
2025-11-13 08:00:00+00:00,2.977,3.008,2.955,3.0,233867.87
2025-11-13 12:00:00+00:00,3.0,3.045,2.934,2.971,411513.56
2025-11-13 16:00:00+00:00,2.971,2.982,2.776,2.793,588016.11
2025-11-13 20:00:00+00:00,2.793,2.878,2.763,2.853,307444.79
2025-11-14 00:00:00+00:00,2.853,2.883,2.83,2.854,228424.23
2025-11-14 04:00:00+00:00,2.854,2.922,2.752,2.892,433461.6
2025-11-14 08:00:00+00:00,2.892,2.897,2.819,2.834,276219.37
2025-11-14 12:00:00+00:00,2.834,2.897,2.763,2.859,484563.36
2025-11-14 16:00:00+00:00,2.859,2.896,2.84,2.883,238187.9
2025-11-14 20:00:00+00:00,2.883,2.888,2.774,2.815,374246.62
2025-11-15 00:00:00+00:00,2.815,2.907,2.812,2.885,146015.63
2025-11-15 04:00:00+00:00,2.885,2.95,2.871,2.915,160725.48
2025-11-15 08:00:00+00:00,2.915,2.918,2.849,2.858,168598.98
2025-11-15 12:00:00+00:00,2.858,2.931,2.849,2.868,172071.32
2025-11-15 16:00:00+00:00,2.868,2.893,2.841,2.864,156092.99
2025-11-15 20:00:00+00:00,2.864,2.869,2.82,2.832,150872.72
2025-11-16 00:00:00+00:00,2.832,2.878,2.783,2.871,164885.11
2025-11-16 04:00:00+00:00,2.871,2.884,2.851,2.877,88981.7
2025-11-16 08:00:00+00:00,2.877,2.898,2.819,2.825,150635.33
2025-11-16 12:00:00+00:00,2.825,2.844,2.77,2.773,240039.13
2025-11-16 16:00:00+00:00,2.773,2.796,2.696,2.741,399349.67
2025-11-16 20:00:00+00:00,2.741,2.804,2.715,2.784,215109.52
2025-11-17 00:00:00+00:00,2.784,2.843,2.773,2.823,267290.8
2025-11-17 04:00:00+00:00,2.823,2.844,2.806,2.833,121188.88
2025-11-17 08:00:00+00:00,2.833,2.844,2.809,2.832,243333.7
2025-11-17 12:00:00+00:00,2.832,2.866,2.739,2.775,444570.68
2025-11-17 16:00:00+00:00,2.775,2.798,2.64,2.652,463823.19
2025-11-17 20:00:00+00:00,2.652,2.683,2.626,2.663,254061.74
