ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,1.518,1.558,1.435,1.453,1298373.613
2025-11-04 08:00:00+00:00,1.453,1.496,1.441,1.471,617042.515
2025-11-04 12:00:00+00:00,1.471,1.49,1.422,1.454,819357.681
2025-11-04 16:00:00+00:00,1.454,1.465,1.327,1.346,1417532.666
2025-11-04 20:00:00+00:00,1.346,1.383,1.27,1.367,1430726.582
2025-11-05 00:00:00+00:00,1.367,1.408,1.297,1.401,643340.436
2025-11-05 04:00:00+00:00,1.401,1.405,1.368,1.374,339000.34
2025-11-05 08:00:00+00:00,1.374,1.377,1.344,1.373,547403.545
2025-11-05 12:00:00+00:00,1.373,1.384,1.339,1.378,659710.198
2025-11-05 16:00:00+00:00,1.378,1.416,1.356,1.405,634861.675
2025-11-05 20:00:00+00:00,1.405,1.418,1.39,1.396,291112.61
2025-11-06 00:00:00+00:00,1.396,1.396,1.349,1.382,510361.331
2025-11-06 04:00:00+00:00,1.382,1.387,1.324,1.338,462522.231
2025-11-06 08:00:00+00:00,1.338,1.36,1.325,1.349,457905.137
2025-11-06 12:00:00+00:00,1.349,1.417,1.335,1.379,1407730.292
2025-11-06 16:00:00+00:00,1.379,1.95,1.362,1.78,5282598.727
2025-11-06 20:00:00+00:00,1.78,1.95,1.721,1.895,4258074.838
2025-11-07 00:00:00+00:00,1.895,2.365,1.875,2.138,4388603.686
2025-11-07 04:00:00+00:00,2.138,2.295,1.998,2.204,3313081.436
2025-11-07 08:00:00+00:00,2.204,2.392,2.059,2.107,3320289.756
2025-11-07 12:00:00+00:00,2.107,2.52,2.03,2.509,4071924.903
2025-11-07 16:00:00+00:00,2.509,3.984,2.47,3.293,10306344.956
2025-11-07 20:00:00+00:00,3.293,3.705,3.237,3.396,3656071.514
2025-11-08 00:00:00+00:00,3.396,3.512,2.908,3.137,4181430.512
2025-11-08 04:00:00+00:00,3.137,3.472,3.044,3.267,3571064.008
2025-11-08 08:00:00+00:00,3.267,3.633,3.137,3.279,3854191.44
2025-11-08 12:00:00+00:00,3.279,3.523,2.854,2.88,3708176.09
2025-11-08 16:00:00+00:00,2.88,2.94,2.733,2.844,2404315.564
2025-11-08 20:00:00+00:00,2.844,3.182,2.76,2.962,2259392.025
2025-11-09 00:00:00+00:00,2.962,2.998,2.521,2.556,2433014.211
2025-11-09 04:00:00+00:00,2.556,2.639,2.497,2.637,1770712.674
2025-11-09 08:00:00+00:00,2.637,2.757,2.531,2.755,2032027.952
2025-11-09 12:00:00+00:00,2.755,2.862,2.64,2.75,2211078.091
2025-11-09 16:00:00+00:00,2.75,2.91,2.656,2.901,1306426.366
