ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,15.43,15.51,14.56,14.64,1360054.82
2025-11-04 08:00:00+00:00,14.64,15.27,14.52,15.05,1154156.46
2025-11-04 12:00:00+00:00,15.05,15.43,14.68,15.11,1353248.63
2025-11-04 16:00:00+00:00,15.11,15.24,14.14,14.3,2060299.82
2025-11-04 20:00:00+00:00,14.3,14.87,13.7,14.69,2234655.78
2025-11-05 00:00:00+00:00,14.69,14.91,13.98,14.85,1358987.98
2025-11-05 04:00:00+00:00,14.85,15.02,14.75,14.9,450408.82
2025-11-05 08:00:00+00:00,14.9,14.91,14.54,14.83,456955.86
2025-11-05 12:00:00+00:00,14.83,15.11,14.74,15.09,682716.27
2025-11-05 16:00:00+00:00,15.09,15.4,14.91,15.25,737524.31
2025-11-05 20:00:00+00:00,15.25,15.36,15.05,15.09,893688.1
2025-11-06 00:00:00+00:00,15.09,15.22,14.84,15.12,635283.73
2025-11-06 04:00:00+00:00,15.12,15.23,14.82,14.91,448174.33
2025-11-06 08:00:00+00:00,14.91,14.98,14.75,14.94,366117.14
2025-11-06 12:00:00+00:00,14.94,15.11,14.38,14.46,640002.05
2025-11-06 16:00:00+00:00,14.46,14.78,14.24,14.73,715066.69
2025-11-06 20:00:00+00:00,14.73,14.8,14.49,14.75,392808.64
2025-11-07 00:00:00+00:00,14.75,15.03,14.57,14.95,746713.06
2025-11-07 04:00:00+00:00,14.95,15.17,14.83,15.17,413144.52
2025-11-07 08:00:00+00:00,15.17,15.19,14.5,14.68,622675.96
2025-11-07 12:00:00+00:00,14.68,15.11,14.31,15.02,1006984.23
2025-11-07 16:00:00+00:00,15.02,16.23,14.95,16.06,1520343.27
2025-11-07 20:00:00+00:00,16.06,16.18,15.74,15.78,584494.68
2025-11-08 00:00:00+00:00,15.78,16.04,15.61,15.77,924637.58
2025-11-08 04:00:00+00:00,15.77,15.93,15.53,15.72,544076.1
2025-11-08 08:00:00+00:00,15.72,15.93,15.6,15.69,588492.3
2025-11-08 12:00:00+00:00,15.69,15.73,15.18,15.21,642433.78
2025-11-08 16:00:00+00:00,15.21,15.45,15.12,15.36,348933.78
2025-11-08 20:00:00+00:00,15.36,15.55,15.27,15.51,294826.96
2025-11-09 00:00:00+00:00,15.51,15.52,15.02,15.09,541117.75
2025-11-09 04:00:00+00:00,15.09,15.43,15.05,15.37,275635.39
2025-11-09 08:00:00+00:00,15.37,15.5,15.08,15.43,403489.0
2025-11-09 12:00:00+00:00,15.43,15.95,15.39,15.83,618701.94
2025-11-09 16:00:00+00:00,15.83,16.1,15.72,16.09,382344.2
2025-11-09 20:00:00+00:00,16.09,16.13,15.83,15.92,339760.36
2025-11-10 00:00:00+00:00,15.92,16.31,15.78,16.24,544544.96
2025-11-10 04:00:00+00:00,16.24,16.43,16.15,16.37,427223.95
2025-11-10 08:00:00+00:00,16.37,16.65,16.19,16.51,648316.09
2025-11-10 12:00:00+00:00,16.51,16.67,15.97,16.09,1401711.7
2025-11-10 16:00:00+00:00,16.09,16.28,15.92,16.16,400896.0
2025-11-10 20:00:00+00:00,16.16,16.46,15.96,16.37,473196.09
2025-11-11 00:00:00+00:00,16.37,16.8,16.17,16.64,794129.91
2025-11-11 04:00:00+00:00,16.64,16.69,15.99,16.0,570215.41
2025-11-11 08:00:00+00:00,16.0,16.23,15.97,16.2,302973.68
2025-11-11 12:00:00+00:00,16.2,16.3,15.7,15.8,820883.37
2025-11-11 16:00:00+00:00,15.8,15.89,15.59,15.63,395103.85
2025-11-11 20:00:00+00:00,15.63,15.65,15.24,15.28,512229.03
2025-11-12 00:00:00+00:00,15.28,15.47,15.18,15.4,356133.46
2025-11-12 04:00:00+00:00,15.4,15.56,15.31,15.33,262224.67
2025-11-12 08:00:00+00:00,15.33,16.18,15.33,16.11,706119.45
2025-11-12 12:00:00+00:00,16.11,16.25,15.34,15.37,1025687.37
2025-11-12 16:00:00+00:00,15.37,15.43,14.92,15.08,904073.35
2025-11-12 20:00:00+00:00,15.08,15.32,15.02,15.16,353932.34
2025-11-13 00:00:00+00:00,15.16,15.66,15.07,15.54,657761.9
2025-11-13 04:00:00+00:00,15.54,16.02,15.43,15.88,631812.74
2025-11-13 08:00:00+00:00,15.88,15.96,15.64,15.73,368816.6
2025-11-13 12:00:00+00:00,15.73,15.78,15.24,15.33,777697.3
