ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,89.46,91.17,85.26,86.18,43593.8177
2025-11-04 08:00:00+00:00,86.18,87.84,85.64,87.07,20563.3181
2025-11-04 12:00:00+00:00,87.07,89.05,85.91,87.55,30760.2031
2025-11-04 16:00:00+00:00,87.55,88.36,82.42,83.49,58558.2787
2025-11-04 20:00:00+00:00,83.49,86.0,79.72,85.22,74761.345
2025-11-05 00:00:00+00:00,85.22,87.23,82.0,86.98,31366.6969
2025-11-05 04:00:00+00:00,86.98,87.68,86.41,87.06,16103.4597
2025-11-05 08:00:00+00:00,87.06,87.11,85.34,86.55,17929.5064
2025-11-05 12:00:00+00:00,86.55,87.8,86.01,87.78,21222.7117
2025-11-05 16:00:00+00:00,87.78,89.32,86.99,89.02,21925.1212
2025-11-05 20:00:00+00:00,89.02,89.98,88.42,89.4,13073.9043
2025-11-06 00:00:00+00:00,89.4,89.41,87.51,88.44,14364.7203
2025-11-06 04:00:00+00:00,88.44,88.72,86.55,86.78,13945.5191
2025-11-06 08:00:00+00:00,86.78,87.73,86.51,87.39,13302.6157
2025-11-06 12:00:00+00:00,87.39,88.56,86.26,86.61,23683.112
2025-11-06 16:00:00+00:00,86.61,88.14,85.29,87.45,18826.3115
2025-11-06 20:00:00+00:00,87.45,87.9,86.3,87.0,11383.5561
2025-11-07 00:00:00+00:00,87.0,89.24,86.89,89.03,18145.4488
2025-11-07 04:00:00+00:00,89.03,90.88,88.37,90.77,22415.6105
2025-11-07 08:00:00+00:00,90.77,90.87,86.93,87.91,28804.3262
2025-11-07 12:00:00+00:00,87.91,94.47,85.92,93.13,62966.0427
2025-11-07 16:00:00+00:00,93.13,104.83,92.43,100.49,115065.0516
2025-11-07 20:00:00+00:00,100.49,103.68,99.57,101.86,35581.7057
2025-11-08 00:00:00+00:00,101.86,102.89,100.0,100.88,36197.2502
2025-11-08 04:00:00+00:00,100.88,102.55,98.39,99.91,32632.4344
2025-11-08 08:00:00+00:00,99.91,100.8,98.04,99.78,27207.3463
2025-11-08 12:00:00+00:00,99.78,105.37,98.33,98.67,38193.9138
2025-11-08 16:00:00+00:00,98.67,101.35,98.05,100.66,28837.7525
2025-11-08 20:00:00+00:00,100.66,107.58,100.54,106.92,26751.6742
2025-11-09 00:00:00+00:00,106.92,109.9,99.61,100.06,57090.7623
2025-11-09 04:00:00+00:00,100.06,102.02,99.41,101.55,30183.064
2025-11-09 08:00:00+00:00,101.55,106.56,98.83,102.03,58775.9743
2025-11-09 12:00:00+00:00,102.03,109.9,101.04,106.8,82585.9761
2025-11-09 16:00:00+00:00,106.8,109.72,104.53,109.54,49154.063
2025-11-09 20:00:00+00:00,109.54,113.59,108.88,110.29,64330.9893
2025-11-10 00:00:00+00:00,110.29,112.2,107.7,108.34,47856.0659
2025-11-10 04:00:00+00:00,108.34,109.19,107.03,107.25,26999.1794
2025-11-10 08:00:00+00:00,107.25,108.6,106.76,107.11,32475.7624
2025-11-10 12:00:00+00:00,107.11,109.73,105.25,107.41,44575.0711
2025-11-10 16:00:00+00:00,107.41,109.11,106.44,107.6,39386.0116
2025-11-10 20:00:00+00:00,107.6,108.24,103.63,104.26,31951.5141
2025-11-11 00:00:00+00:00,104.26,106.99,102.82,105.2,35900.9178
2025-11-11 04:00:00+00:00,105.2,105.51,102.05,102.09,25146.4228
2025-11-11 08:00:00+00:00,102.09,103.31,101.88,102.67,27871.6431
2025-11-11 12:00:00+00:00,102.67,103.03,99.58,101.0,43121.1603
2025-11-11 16:00:00+00:00,101.0,101.79,99.45,100.24,25083.1054
2025-11-11 20:00:00+00:00,100.24,100.79,99.01,99.66,17310.8948
2025-11-12 00:00:00+00:00,99.66,100.27,98.87,99.46,15317.333
2025-11-12 04:00:00+00:00,99.46,100.22,99.18,99.6,11018.5988
2025-11-12 08:00:00+00:00,99.6,102.84,99.59,102.03,33344.613
2025-11-12 12:00:00+00:00,102.03,104.29,99.68,100.0,45911.9869
2025-11-12 16:00:00+00:00,100.0,100.29,94.89,97.12,88216.9682
2025-11-12 20:00:00+00:00,97.12,98.94,96.87,97.61,50658.5165
2025-11-13 00:00:00+00:00,97.61,99.95,97.51,99.01,21099.8162
2025-11-13 04:00:00+00:00,99.01,101.81,98.48,100.59,22681.0855
2025-11-13 08:00:00+00:00,100.59,101.06,98.98,100.22,22905.8987
2025-11-13 12:00:00+00:00,100.22,102.74,98.61,99.56,51499.6574
2025-11-13 16:00:00+00:00,99.56,100.1,93.67,94.98,50837.019
2025-11-13 20:00:00+00:00,94.98,97.59,94.23,96.57,26102.7972
2025-11-14 00:00:00+00:00,96.57,97.31,95.52,96.36,19807.204
2025-11-14 04:00:00+00:00,96.36,99.09,93.31,98.21,44137.6294
2025-11-14 08:00:00+00:00,98.21,98.25,95.31,96.11,33972.4117
2025-11-14 12:00:00+00:00,96.11,97.85,93.79,96.9,72541.7272
2025-11-14 16:00:00+00:00,96.9,100.17,95.82,99.98,31976.5074
2025-11-14 20:00:00+00:00,99.98,100.19,96.11,97.7,33063.611
2025-11-15 00:00:00+00:00,97.7,106.52,97.6,104.01,42289.2195
2025-11-15 04:00:00+00:00,104.01,106.03,102.33,102.73,29069.0923
2025-11-15 08:00:00+00:00,102.73,103.4,101.47,102.8,23183.8974
2025-11-15 12:00:00+00:00,102.8,109.54,102.3,104.18,65485.5946
2025-11-15 16:00:00+00:00,104.18,104.39,102.19,103.33,20584.3096
2025-11-15 20:00:00+00:00,103.33,103.56,101.6,101.74,18450.6093
2025-11-16 00:00:00+00:00,101.74,103.39,99.92,102.51,22275.3819
2025-11-16 04:00:00+00:00,102.51,102.98,101.35,102.02,14241.3103
2025-11-16 08:00:00+00:00,102.02,102.73,100.15,100.61,19264.0754
2025-11-16 12:00:00+00:00,100.61,101.84,97.67,97.81,24250.8554
2025-11-16 16:00:00+00:00,97.81,98.72,95.08,95.93,35673.9516
2025-11-16 20:00:00+00:00,95.93,96.99,94.25,95.81,29595.3709
2025-11-17 00:00:00+00:00,95.81,97.93,95.11,97.18,18709.3858
2025-11-17 04:00:00+00:00,97.18,97.56,96.19,97.02,15678.8647
2025-11-17 08:00:00+00:00,97.02,97.24,96.02,96.53,17034.7275
2025-11-17 12:00:00+00:00,96.53,97.48,93.74,94.66,47100.2096
2025-11-17 16:00:00+00:00,94.66,95.97,91.49,91.96,45632.8993
2025-11-17 20:00:00+00:00,91.96,92.65,90.59,91.27,28447.873
2025-11-18 00:00:00+00:00,91.27,93.26,90.48,93.11,30983.6821
2025-11-18 04:00:00+00:00,93.11,95.86,91.98,95.46,30532.9979
2025-11-18 08:00:00+00:00,95.46,96.48,94.36,95.27,21104.5136
2025-11-18 12:00:00+00:00,95.27,97.51,94.31,96.34,35265.864
2025-11-18 16:00:00+00:00,96.34,97.37,94.63,95.13,20352.2806
2025-11-18 20:00:00+00:00,95.13,96.61,94.75,95.64,10269.9402
2025-11-19 00:00:00+00:00,95.64,95.99,94.38,94.48,10919.4786
2025-11-19 04:00:00+00:00,94.48,95.0,92.3,94.46,13284.2945
2025-11-19 08:00:00+00:00,94.46,94.85,93.43,93.5,12467.0684
2025-11-19 12:00:00+00:00,93.5,94.57,91.5,91.71,19512.9675
2025-11-19 16:00:00+00:00,91.71,92.14,88.88,89.94,23971.0951
2025-11-19 20:00:00+00:00,89.94,93.23,89.66,92.89,20656.623
2025-11-20 00:00:00+00:00,92.89,93.83,92.36,93.23,10479.9368
2025-11-20 04:00:00+00:00,93.23,93.76,92.34,93.14,12226.1293
2025-11-20 08:00:00+00:00,93.14,93.14,92.08,92.6,7322.7398
2025-11-20 12:00:00+00:00,92.6,93.15,90.28,90.38,17081.4834
2025-11-20 16:00:00+00:00,90.38,90.49,86.05,87.07,44108.9414
