ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,1.943,1.95,1.825,1.839,1193309.96
2025-11-04 08:00:00+00:00,1.839,1.915,1.832,1.894,820831.53
2025-11-04 12:00:00+00:00,1.894,1.943,1.864,1.898,1051551.66
2025-11-04 16:00:00+00:00,1.898,1.913,1.766,1.796,1435713.81
2025-11-04 20:00:00+00:00,1.796,1.856,1.72,1.832,2143299.67
2025-11-05 00:00:00+00:00,1.832,1.868,1.735,1.862,1146208.0
2025-11-05 04:00:00+00:00,1.862,1.869,1.84,1.864,387644.61
2025-11-05 08:00:00+00:00,1.864,1.884,1.829,1.88,559314.45
2025-11-05 12:00:00+00:00,1.88,1.911,1.868,1.91,622479.47
2025-11-05 16:00:00+00:00,1.91,1.954,1.888,1.936,745257.15
2025-11-05 20:00:00+00:00,1.936,1.973,1.927,1.952,559079.98
2025-11-06 00:00:00+00:00,1.952,1.955,1.913,1.924,574414.95
2025-11-06 04:00:00+00:00,1.924,1.943,1.891,1.897,463523.73
2025-11-06 08:00:00+00:00,1.897,1.912,1.887,1.903,442701.05
2025-11-06 12:00:00+00:00,1.903,2.04,1.897,1.972,2426509.81
2025-11-06 16:00:00+00:00,1.972,2.081,1.909,2.068,1377687.0
2025-11-06 20:00:00+00:00,2.068,2.103,2.038,2.097,1273945.76
2025-11-07 00:00:00+00:00,2.097,2.171,2.08,2.155,1898101.71
2025-11-07 04:00:00+00:00,2.155,2.275,2.118,2.245,1624714.83
2025-11-07 08:00:00+00:00,2.245,2.358,2.21,2.279,3222132.5
2025-11-07 12:00:00+00:00,2.279,2.591,2.249,2.523,4349001.39
2025-11-07 16:00:00+00:00,2.523,2.948,2.514,2.793,5179180.86
2025-11-07 20:00:00+00:00,2.793,2.972,2.737,2.767,2501197.69
2025-11-08 00:00:00+00:00,2.767,2.838,2.6,2.691,2410870.42
2025-11-08 04:00:00+00:00,2.691,2.762,2.604,2.663,1785621.11
2025-11-08 08:00:00+00:00,2.663,3.186,2.622,3.008,4507880.08
2025-11-08 12:00:00+00:00,3.008,3.042,2.79,2.811,2869230.77
2025-11-08 16:00:00+00:00,2.811,2.925,2.724,2.848,1949404.35
2025-11-08 20:00:00+00:00,2.848,2.965,2.814,2.938,922042.13
2025-11-09 00:00:00+00:00,2.938,3.083,2.8,2.819,3023559.84
2025-11-09 04:00:00+00:00,2.819,2.872,2.734,2.783,1393321.05
2025-11-09 08:00:00+00:00,2.783,2.801,2.67,2.73,1400925.05
2025-11-09 12:00:00+00:00,2.73,2.971,2.69,2.883,1812365.55
2025-11-09 16:00:00+00:00,2.883,3.029,2.845,3.024,1520810.36
2025-11-09 20:00:00+00:00,3.024,3.081,2.883,3.076,1366151.15
2025-11-10 00:00:00+00:00,3.076,3.076,2.898,3.017,1872552.38
