ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,167.67,168.14,155.91,157.1,455741.97
2025-11-04 08:00:00+00:00,157.1,162.25,156.45,161.73,277617.742
2025-11-04 12:00:00+00:00,161.73,165.27,159.33,161.48,325885.973
2025-11-04 16:00:00+00:00,161.48,162.38,152.29,154.62,531773.932
2025-11-04 20:00:00+00:00,154.62,155.9,145.87,155.04,630637.123
2025-11-05 00:00:00+00:00,155.04,157.35,147.3,156.93,393292.599
2025-11-05 04:00:00+00:00,156.93,158.57,155.71,156.48,189054.206
2025-11-05 08:00:00+00:00,156.48,157.61,153.68,157.5,213056.717
2025-11-05 12:00:00+00:00,157.5,160.55,156.75,160.52,263664.115
2025-11-05 16:00:00+00:00,160.52,163.92,158.59,162.56,249936.869
2025-11-05 20:00:00+00:00,162.56,164.0,161.1,162.36,120954.374
2025-11-06 00:00:00+00:00,162.36,162.9,159.67,162.43,200412.702
2025-11-06 04:00:00+00:00,162.43,162.73,158.26,158.86,115746.894
2025-11-06 08:00:00+00:00,158.86,159.89,157.67,158.85,130548.98
2025-11-06 12:00:00+00:00,158.85,161.47,155.42,155.92,305272.447
2025-11-06 16:00:00+00:00,155.92,158.68,153.83,156.89,233389.962
2025-11-06 20:00:00+00:00,156.89,157.81,153.46,155.29,125737.189
2025-11-07 00:00:00+00:00,155.29,158.6,154.25,156.84,158525.7
2025-11-07 04:00:00+00:00,156.84,158.3,155.26,157.8,114781.077
2025-11-07 08:00:00+00:00,157.8,158.21,151.64,153.86,179785.945
2025-11-07 12:00:00+00:00,153.86,156.28,149.81,155.4,336597.767
2025-11-07 16:00:00+00:00,155.4,164.48,154.38,164.2,303996.176
2025-11-07 20:00:00+00:00,164.2,164.38,161.6,161.77,151706.732
2025-11-08 00:00:00+00:00,161.77,164.88,160.58,162.51,174516.668
2025-11-08 04:00:00+00:00,162.51,163.66,159.63,161.05,113567.697
2025-11-08 08:00:00+00:00,161.05,162.36,159.15,159.39,136514.688
2025-11-08 12:00:00+00:00,159.39,159.7,155.95,156.67,179732.644
2025-11-08 16:00:00+00:00,156.67,158.21,155.84,157.37,126732.85
2025-11-08 20:00:00+00:00,157.37,158.47,157.22,158.04,84950.425
2025-11-09 00:00:00+00:00,158.04,158.33,155.19,155.91,105903.083
2025-11-09 04:00:00+00:00,155.91,159.57,155.87,159.31,130626.181
2025-11-09 08:00:00+00:00,159.31,159.94,157.29,159.07,88916.531
2025-11-09 12:00:00+00:00,159.07,163.98,158.59,162.53,329796.708
2025-11-09 16:00:00+00:00,162.53,166.27,161.21,166.13,182740.098
2025-11-09 20:00:00+00:00,166.13,166.55,163.92,164.54,145441.262
2025-11-10 00:00:00+00:00,164.54,168.77,163.45,168.13,228742.567
2025-11-10 04:00:00+00:00,168.13,168.93,166.38,167.4,140255.535
2025-11-10 08:00:00+00:00,167.4,169.75,166.1,168.32,152017.82
2025-11-10 12:00:00+00:00,168.32,170.47,165.2,166.29,252925.947
2025-11-10 16:00:00+00:00,166.29,168.49,165.25,167.22,175136.298
2025-11-10 20:00:00+00:00,167.22,168.43,164.84,167.29,126971.949
2025-11-11 00:00:00+00:00,167.29,171.93,166.0,169.96,220794.586
2025-11-11 04:00:00+00:00,169.96,170.1,163.64,163.99,267813.237
2025-11-11 08:00:00+00:00,163.99,164.97,162.85,163.71,151675.004
2025-11-11 12:00:00+00:00,163.71,164.39,160.1,160.87,310784.064
2025-11-11 16:00:00+00:00,160.87,161.21,157.42,157.62,192912.488
2025-11-11 20:00:00+00:00,157.62,157.86,153.99,154.63,183470.713
2025-11-12 00:00:00+00:00,154.63,155.61,153.64,154.59,186233.616
2025-11-12 04:00:00+00:00,154.59,156.57,154.22,155.05,164897.797
