ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,0.2847,0.2853,0.2775,0.2785,41599633.31
2025-11-04 08:00:00+00:00,0.2785,0.2814,0.2764,0.2814,22387704.48
2025-11-04 12:00:00+00:00,0.2814,0.2846,0.2801,0.2831,23033193.77
2025-11-04 16:00:00+00:00,0.2831,0.2836,0.2788,0.2801,34319644.49
2025-11-04 20:00:00+00:00,0.2801,0.2859,0.277,0.2855,43798126.3
2025-11-05 00:00:00+00:00,0.2855,0.2865,0.2807,0.2861,27764447.0
2025-11-05 04:00:00+00:00,0.2861,0.2862,0.2852,0.2858,8593067.7
2025-11-05 08:00:00+00:00,0.2858,0.2871,0.2848,0.2871,11948415.2
2025-11-05 12:00:00+00:00,0.2871,0.2883,0.2863,0.2876,11618890.23
2025-11-05 16:00:00+00:00,0.2876,0.2902,0.2869,0.2894,9575260.14
2025-11-05 20:00:00+00:00,0.2894,0.2899,0.2889,0.289,3277888.96
2025-11-06 00:00:00+00:00,0.289,0.2895,0.2879,0.289,6458000.21
2025-11-06 04:00:00+00:00,0.289,0.2893,0.2863,0.2869,8005965.81
2025-11-06 08:00:00+00:00,0.2869,0.2876,0.2862,0.2869,7003807.99
2025-11-06 12:00:00+00:00,0.2869,0.2874,0.2822,0.2826,17145924.04
2025-11-06 16:00:00+00:00,0.2826,0.2846,0.282,0.2842,10674729.43
2025-11-06 20:00:00+00:00,0.2842,0.2848,0.2833,0.2838,6688298.2
2025-11-07 00:00:00+00:00,0.2838,0.2861,0.2834,0.2857,13742968.99
2025-11-07 04:00:00+00:00,0.2857,0.2875,0.2853,0.2869,7373806.72
2025-11-07 08:00:00+00:00,0.2869,0.2871,0.2836,0.2847,14905619.97
2025-11-07 12:00:00+00:00,0.2847,0.2868,0.2832,0.2866,20337321.35
2025-11-07 16:00:00+00:00,0.2866,0.2926,0.2865,0.2923,24043800.45
2025-11-07 20:00:00+00:00,0.2923,0.2943,0.2919,0.2923,10824499.99
2025-11-08 00:00:00+00:00,0.2923,0.2948,0.2914,0.2919,14130912.4
2025-11-08 04:00:00+00:00,0.2919,0.2926,0.2905,0.2917,7754169.67
2025-11-08 08:00:00+00:00,0.2917,0.2928,0.2913,0.2922,6384486.25
2025-11-08 12:00:00+00:00,0.2922,0.2927,0.2905,0.291,7084662.83
2025-11-08 16:00:00+00:00,0.291,0.2917,0.29,0.2906,6063654.32
2025-11-08 20:00:00+00:00,0.2906,0.292,0.2906,0.2915,3425672.75
