ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,5.265,5.282,5.026,5.062,61838.39
2025-11-04 08:00:00+00:00,5.062,5.238,5.047,5.213,51589.57
2025-11-04 12:00:00+00:00,5.213,5.261,5.089,5.152,39723.72
2025-11-04 16:00:00+00:00,5.152,5.199,4.877,4.944,169981.63
2025-11-04 20:00:00+00:00,4.944,5.133,4.736,5.073,198473.23
2025-11-05 00:00:00+00:00,5.073,5.191,4.873,5.176,124736.28
2025-11-05 04:00:00+00:00,5.176,5.227,5.15,5.22,34612.9
2025-11-05 08:00:00+00:00,5.22,5.283,5.124,5.278,32573.47
2025-11-05 12:00:00+00:00,5.278,5.371,5.235,5.371,53149.51
2025-11-05 16:00:00+00:00,5.371,5.494,5.322,5.452,44306.88
2025-11-05 20:00:00+00:00,5.452,5.487,5.325,5.347,49685.04
2025-11-06 00:00:00+00:00,5.347,5.372,5.257,5.338,24982.43
2025-11-06 04:00:00+00:00,5.338,5.362,5.235,5.247,20344.5
2025-11-06 08:00:00+00:00,5.247,5.308,5.24,5.281,25021.27
2025-11-06 12:00:00+00:00,5.281,5.337,5.18,5.199,40476.59
2025-11-06 16:00:00+00:00,5.199,5.307,5.107,5.286,33736.05
2025-11-06 20:00:00+00:00,5.286,5.311,5.216,5.255,37469.07
2025-11-07 00:00:00+00:00,5.255,5.379,5.246,5.336,26475.6
2025-11-07 04:00:00+00:00,5.336,5.479,5.291,5.465,29349.42
2025-11-07 08:00:00+00:00,5.465,5.498,5.303,5.38,77469.8
2025-11-07 12:00:00+00:00,5.38,5.596,5.247,5.574,70282.43
2025-11-07 16:00:00+00:00,5.574,5.945,5.557,5.907,104531.3
2025-11-07 20:00:00+00:00,5.907,6.001,5.854,5.876,34356.03
2025-11-08 00:00:00+00:00,5.876,6.12,5.805,6.05,73949.41
2025-11-08 04:00:00+00:00,6.05,6.086,5.882,5.994,45675.64
2025-11-08 08:00:00+00:00,5.994,6.172,5.709,6.092,226818.81
