ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,2.3561,2.3648,2.2289,2.2415,27516696.57
2025-11-04 08:00:00+00:00,2.2415,2.2851,2.2293,2.2805,17012188.01
2025-11-04 12:00:00+00:00,2.2805,2.3266,2.2419,2.2821,19255587.22
2025-11-04 16:00:00+00:00,2.2821,2.2962,2.155,2.1696,40145186.52
2025-11-04 20:00:00+00:00,2.1696,2.2289,2.0675,2.2058,51199132.65
2025-11-05 00:00:00+00:00,2.2058,2.2533,2.1012,2.2371,24375736.37
2025-11-05 04:00:00+00:00,2.2371,2.26,2.2263,2.2465,11185265.08
2025-11-05 08:00:00+00:00,2.2465,2.2466,2.2046,2.2369,11631635.54
2025-11-05 12:00:00+00:00,2.2369,2.289,2.2305,2.2764,17673979.17
2025-11-05 16:00:00+00:00,2.2764,2.3259,2.2544,2.322,17055773.22
2025-11-05 20:00:00+00:00,2.322,2.3773,2.3171,2.3429,16009050.62
2025-11-06 00:00:00+00:00,2.3429,2.416,2.3097,2.3588,13220899.94
2025-11-06 04:00:00+00:00,2.3588,2.3643,2.3119,2.3256,8086556.88
2025-11-06 08:00:00+00:00,2.3256,2.3329,2.2879,2.3003,9842005.08
2025-11-06 12:00:00+00:00,2.3003,2.3109,2.228,2.2345,15040624.15
2025-11-06 16:00:00+00:00,2.2345,2.2493,2.2031,2.2125,16711598.03
2025-11-06 20:00:00+00:00,2.2125,2.2246,2.1801,2.2122,12032007.94
2025-11-07 00:00:00+00:00,2.2122,2.2377,2.193,2.2293,9718923.09
2025-11-07 04:00:00+00:00,2.2293,2.24,2.212,2.2333,6140509.03
2025-11-07 08:00:00+00:00,2.2333,2.2344,2.1635,2.1878,10939728.46
2025-11-07 12:00:00+00:00,2.1878,2.2211,2.1529,2.2132,17238204.63
2025-11-07 16:00:00+00:00,2.2132,2.3556,2.2028,2.3526,23714306.64
2025-11-07 20:00:00+00:00,2.3526,2.3723,2.3113,2.3147,13250080.41
2025-11-08 00:00:00+00:00,2.3147,2.3363,2.2988,2.319,10409375.12
2025-11-08 04:00:00+00:00,2.319,2.336,2.2949,2.322,7250197.32
2025-11-08 08:00:00+00:00,2.322,2.3331,2.2907,2.2951,4519641.18
2025-11-08 12:00:00+00:00,2.2951,2.3024,2.2427,2.2564,8072535.91
2025-11-08 16:00:00+00:00,2.2564,2.2793,2.2511,2.2729,5431943.17
2025-11-08 20:00:00+00:00,2.2729,2.29,2.2714,2.2867,5021751.68
2025-11-09 00:00:00+00:00,2.2867,2.2876,2.2383,2.2539,4896382.55
2025-11-09 04:00:00+00:00,2.2539,2.2992,2.2533,2.2958,4362945.79
2025-11-09 08:00:00+00:00,2.2958,2.2964,2.2531,2.2753,4993528.87
2025-11-09 12:00:00+00:00,2.2753,2.3412,2.2674,2.316,11158621.8
2025-11-09 16:00:00+00:00,2.316,2.3497,2.3015,2.3489,6052655.45
2025-11-09 20:00:00+00:00,2.3489,2.3942,2.3238,2.3655,8247892.9
2025-11-10 00:00:00+00:00,2.3655,2.4772,2.3463,2.4617,18559234.61
2025-11-10 04:00:00+00:00,2.4617,2.4925,2.44,2.4807,10280738.46
2025-11-10 08:00:00+00:00,2.4807,2.5729,2.4695,2.5406,18441173.56
2025-11-10 12:00:00+00:00,2.5406,2.5698,2.4983,2.5291,17594452.04
2025-11-10 16:00:00+00:00,2.5291,2.5638,2.5133,2.5487,12064155.69
2025-11-10 20:00:00+00:00,2.5487,2.5803,2.5111,2.5255,11733176.57
2025-11-11 00:00:00+00:00,2.5255,2.5696,2.5139,2.5301,10613213.8
2025-11-11 04:00:00+00:00,2.5301,2.5332,2.4447,2.4476,13518240.96
2025-11-11 08:00:00+00:00,2.4476,2.4703,2.4395,2.4605,6152844.61
2025-11-11 12:00:00+00:00,2.4605,2.4701,2.4269,2.4374,10359439.27
2025-11-11 16:00:00+00:00,2.4374,2.4423,2.4103,2.4163,7418734.34
2025-11-11 20:00:00+00:00,2.4163,2.4222,2.3788,2.3915,9219383.29
2025-11-12 00:00:00+00:00,2.3915,2.4145,2.3817,2.3994,7720904.44
2025-11-12 04:00:00+00:00,2.3994,2.4435,2.3651,2.3737,7674441.86
2025-11-12 08:00:00+00:00,2.3737,2.4396,2.3725,2.439,10312055.93
2025-11-12 12:00:00+00:00,2.439,2.4488,2.3633,2.3681,13721572.43
2025-11-12 16:00:00+00:00,2.3681,2.3735,2.3166,2.3382,14929288.32
2025-11-12 20:00:00+00:00,2.3382,2.3954,2.3333,2.3875,10239250.61
2025-11-13 00:00:00+00:00,2.3875,2.512,2.3825,2.4831,14593727.65
2025-11-13 04:00:00+00:00,2.4831,2.5211,2.4512,2.4874,18109960.58
2025-11-13 08:00:00+00:00,2.4874,2.523,2.4728,2.4947,12815937.07
2025-11-13 12:00:00+00:00,2.4947,2.5191,2.4208,2.4342,22420299.97
2025-11-13 16:00:00+00:00,2.4342,2.4433,2.3123,2.315,26547121.32
2025-11-13 20:00:00+00:00,2.315,2.347,2.2769,2.3229,22972875.0
2025-11-14 00:00:00+00:00,2.3229,2.3387,2.2896,2.3145,11779289.93
2025-11-14 04:00:00+00:00,2.3145,2.3269,2.2462,2.3076,17230783.3
2025-11-14 08:00:00+00:00,2.3076,2.3097,2.255,2.2677,11397165.45
2025-11-14 12:00:00+00:00,2.2677,2.3275,2.2259,2.313,30371614.39
2025-11-14 16:00:00+00:00,2.313,2.3412,2.2756,2.3126,13636157.76
2025-11-14 20:00:00+00:00,2.3126,2.3169,2.2259,2.2442,11206301.74
2025-11-15 00:00:00+00:00,2.2442,2.3033,2.2424,2.2944,7896725.86
2025-11-15 04:00:00+00:00,2.2944,2.2963,2.2726,2.2854,7260384.4
2025-11-15 08:00:00+00:00,2.2854,2.2865,2.2423,2.2579,7146510.99
2025-11-15 12:00:00+00:00,2.2579,2.2791,2.2451,2.2548,6832833.17
2025-11-15 16:00:00+00:00,2.2548,2.2707,2.2292,2.2567,6208233.03
2025-11-15 20:00:00+00:00,2.2567,2.2617,2.2113,2.2371,6076125.44
2025-11-16 00:00:00+00:00,2.2371,2.2563,2.1883,2.2497,10570378.15
2025-11-16 04:00:00+00:00,2.2497,2.2705,2.2388,2.267,5412735.41
2025-11-16 08:00:00+00:00,2.267,2.2803,2.2303,2.2358,6444738.65
2025-11-16 12:00:00+00:00,2.2358,2.247,2.1834,2.1871,11403290.05
2025-11-16 16:00:00+00:00,2.1871,2.2319,2.1554,2.216,14993087.13
2025-11-16 20:00:00+00:00,2.216,2.2305,2.165,2.2149,9590984.5
2025-11-17 00:00:00+00:00,2.2149,2.2637,2.1983,2.2571,9921966.35
2025-11-17 04:00:00+00:00,2.2571,2.2694,2.2396,2.2638,6620296.42
2025-11-17 08:00:00+00:00,2.2638,2.2837,2.2583,2.2716,7126695.91
2025-11-17 12:00:00+00:00,2.2716,2.3083,2.1947,2.2098,24813383.43
2025-11-17 16:00:00+00:00,2.2098,2.222,2.1208,2.1272,27294433.21
2025-11-17 20:00:00+00:00,2.1272,2.1732,2.1141,2.1638,14055616.63
2025-11-18 00:00:00+00:00,2.1638,2.1769,2.1071,2.1641,18681606.05
2025-11-18 04:00:00+00:00,2.1641,2.1778,2.1251,2.1613,13692483.78
2025-11-18 08:00:00+00:00,2.1613,2.2013,2.1612,2.1834,11299925.86
2025-11-18 12:00:00+00:00,2.1834,2.229,2.1505,2.2138,20127561.61
2025-11-18 16:00:00+00:00,2.2138,2.2401,2.2008,2.2282,10968167.28
2025-11-18 20:00:00+00:00,2.2282,2.241,2.2028,2.2171,7304109.23
2025-11-19 00:00:00+00:00,2.2171,2.2197,2.1815,2.1844,7498510.13
2025-11-19 04:00:00+00:00,2.1844,2.188,2.1268,2.1681,12786810.7
2025-11-19 08:00:00+00:00,2.1681,2.1707,2.1297,2.1315,9875579.44
2025-11-19 12:00:00+00:00,2.1315,2.1499,2.08,2.0854,17986929.39
2025-11-19 16:00:00+00:00,2.0854,2.1018,2.0292,2.0367,27694561.15
2025-11-19 20:00:00+00:00,2.0367,2.1163,2.0261,2.1098,24816042.29
2025-11-20 00:00:00+00:00,2.1098,2.1397,2.0965,2.1335,10910260.38
2025-11-20 04:00:00+00:00,2.1335,2.1497,2.1188,2.14,9719510.31
2025-11-20 08:00:00+00:00,2.14,2.1415,2.1088,2.1162,9620493.5
2025-11-20 12:00:00+00:00,2.1162,2.1429,2.0825,2.0856,22417811.52
2025-11-20 16:00:00+00:00,2.0856,2.0879,1.9746,2.0073,52831349.06
2025-11-20 20:00:00+00:00,2.0073,2.0529,1.9869,1.9996,21580939.66
2025-11-21 00:00:00+00:00,1.9996,2.0301,1.9624,1.9792,15907731.35
2025-11-21 04:00:00+00:00,1.9792,1.9961,1.85,1.9189,22656926.85
2025-11-21 08:00:00+00:00,1.9189,1.9567,1.874,1.8755,27156997.27
2025-11-21 12:00:00+00:00,1.8755,1.9655,1.8208,1.9102,45591229.37
2025-11-21 16:00:00+00:00,1.9102,1.9983,1.8862,1.9485,22864744.03
2025-11-21 20:00:00+00:00,1.9485,1.966,1.9,1.9509,14705346.3
2025-11-22 00:00:00+00:00,1.9509,1.9638,1.9309,1.9485,7254782.7
2025-11-22 04:00:00+00:00,1.9485,1.9576,1.9136,1.9531,7667678.82
2025-11-22 08:00:00+00:00,1.9531,1.9533,1.8936,1.9174,10296812.38
2025-11-22 12:00:00+00:00,1.9174,1.9389,1.8889,1.929,8236903.49
2025-11-22 16:00:00+00:00,1.929,1.9507,1.9212,1.928,5948383.89
2025-11-22 20:00:00+00:00,1.928,1.9671,1.9203,1.9506,4387036.78
2025-11-23 00:00:00+00:00,1.9506,2.0513,1.9491,2.0306,14013324.98
2025-11-23 04:00:00+00:00,2.0306,2.0762,2.0164,2.0262,13262663.7
2025-11-23 08:00:00+00:00,2.0262,2.0526,2.0223,2.031,5347501.98
2025-11-23 12:00:00+00:00,2.031,2.0663,2.0293,2.0625,11663630.71
2025-11-23 16:00:00+00:00,2.0625,2.0805,2.0405,2.0754,8654989.95
2025-11-23 20:00:00+00:00,2.0754,2.0851,2.0425,2.0491,8172369.09
2025-11-24 00:00:00+00:00,2.0491,2.1079,2.0239,2.0864,12988407.05
