ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,2.647,2.66,2.503,2.53,29089586.0
2025-11-04 08:00:00+00:00,2.53,2.635,2.517,2.607,31992751.0
2025-11-04 12:00:00+00:00,2.607,2.65,2.553,2.598,37825657.0
2025-11-04 16:00:00+00:00,2.598,2.618,2.418,2.456,51255933.0
2025-11-04 20:00:00+00:00,2.456,2.526,2.337,2.504,62404088.0
2025-11-05 00:00:00+00:00,2.504,2.573,2.383,2.565,31502737.0
2025-11-05 04:00:00+00:00,2.565,2.584,2.545,2.583,10717697.0
2025-11-05 08:00:00+00:00,2.583,2.605,2.532,2.603,10125147.0
2025-11-05 12:00:00+00:00,2.603,2.632,2.573,2.631,14028267.0
2025-11-05 16:00:00+00:00,2.631,2.652,2.597,2.639,8522723.0
2025-11-05 20:00:00+00:00,2.639,2.673,2.633,2.666,8992996.0
2025-11-06 00:00:00+00:00,2.666,2.679,2.612,2.654,7162979.0
2025-11-06 04:00:00+00:00,2.654,2.663,2.592,2.6,9546109.0
2025-11-06 08:00:00+00:00,2.6,2.616,2.581,2.611,6895369.0
2025-11-06 12:00:00+00:00,2.611,2.647,2.556,2.572,34649573.0
2025-11-06 16:00:00+00:00,2.572,2.659,2.527,2.653,31381661.0
2025-11-06 20:00:00+00:00,2.653,2.668,2.62,2.663,89039504.0
2025-11-07 00:00:00+00:00,2.663,2.816,2.661,2.792,42159717.0
2025-11-07 04:00:00+00:00,2.792,2.858,2.738,2.853,11650212.0
2025-11-07 08:00:00+00:00,2.853,2.856,2.743,2.781,20808373.0
2025-11-07 12:00:00+00:00,2.781,2.907,2.704,2.89,30311938.0
2025-11-07 16:00:00+00:00,2.89,3.336,2.878,3.262,73922436.0
2025-11-07 20:00:00+00:00,3.262,3.293,3.195,3.252,41640097.0
2025-11-08 00:00:00+00:00,3.252,3.525,3.189,3.369,42780970.0
2025-11-08 04:00:00+00:00,3.369,3.438,3.218,3.253,28953590.0
2025-11-08 08:00:00+00:00,3.253,3.31,3.199,3.275,18274423.0
2025-11-08 12:00:00+00:00,3.275,3.288,3.116,3.124,17205168.0
2025-11-08 16:00:00+00:00,3.124,3.228,3.087,3.161,20774463.0
2025-11-08 20:00:00+00:00,3.161,3.251,3.145,3.248,9225966.0
