ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,15.42,15.493,14.561,14.634,25392465.0
2025-11-04 08:00:00+00:00,14.634,15.251,14.519,15.05,29315830.0
2025-11-04 12:00:00+00:00,15.05,15.419,14.67,15.106,32490395.0
2025-11-04 16:00:00+00:00,15.106,15.227,14.128,14.295,20446414.0
2025-11-04 20:00:00+00:00,14.295,14.86,13.681,14.681,19639486.0
2025-11-05 00:00:00+00:00,14.681,14.892,13.984,14.839,16901371.0
2025-11-05 04:00:00+00:00,14.839,15.002,14.751,14.894,29351136.0
2025-11-05 08:00:00+00:00,14.894,14.897,14.534,14.824,27594158.0
2025-11-05 12:00:00+00:00,14.824,15.098,14.735,15.083,17825712.0
2025-11-05 16:00:00+00:00,15.083,15.386,14.904,15.254,13604981.0
2025-11-05 20:00:00+00:00,15.254,15.348,15.054,15.079,5606538.0
2025-11-06 00:00:00+00:00,15.079,15.201,14.837,15.117,10308479.0
2025-11-06 04:00:00+00:00,15.117,15.226,14.81,14.894,16737873.0
2025-11-06 08:00:00+00:00,14.894,14.965,14.744,14.924,20447733.0
2025-11-06 12:00:00+00:00,14.924,15.094,14.38,14.46,33473966.0
2025-11-06 16:00:00+00:00,14.46,14.774,14.236,14.727,13398793.0
2025-11-06 20:00:00+00:00,14.727,14.791,14.487,14.737,6299879.0
2025-11-07 00:00:00+00:00,14.737,15.022,14.572,14.947,14273150.0
2025-11-07 04:00:00+00:00,14.947,15.165,14.826,15.159,21118304.0
2025-11-07 08:00:00+00:00,15.159,15.179,14.498,14.687,37317710.0
2025-11-07 12:00:00+00:00,14.687,15.1,14.304,15.024,24284636.0
2025-11-07 16:00:00+00:00,15.024,16.209,14.945,16.06,8860458.0
2025-11-07 20:00:00+00:00,16.06,16.176,15.744,15.791,3562614.0
2025-11-08 00:00:00+00:00,15.791,16.024,15.614,15.756,12586025.0
2025-11-08 04:00:00+00:00,15.756,15.924,15.526,15.708,13465383.0
2025-11-08 08:00:00+00:00,15.708,15.913,15.594,15.678,19615267.0
2025-11-08 12:00:00+00:00,15.678,15.714,15.168,15.201,24185996.0
2025-11-08 16:00:00+00:00,15.201,15.436,15.112,15.357,7020818.0
2025-11-08 20:00:00+00:00,15.357,15.539,15.268,15.51,5428972.0
2025-11-09 00:00:00+00:00,15.51,15.512,15.009,15.086,13275720.0
2025-11-09 04:00:00+00:00,15.086,15.427,15.04,15.364,5904105.0
2025-11-09 08:00:00+00:00,15.364,15.486,15.063,15.426,18198999.0
2025-11-09 12:00:00+00:00,15.426,15.934,15.389,15.815,26328083.0
2025-11-09 16:00:00+00:00,15.815,16.082,15.714,16.073,4926066.0
2025-11-09 20:00:00+00:00,16.073,16.121,15.826,15.917,10298640.0
2025-11-10 00:00:00+00:00,15.917,16.298,15.776,16.225,21349908.0
2025-11-10 04:00:00+00:00,16.225,16.409,16.147,16.345,19799460.0
2025-11-10 08:00:00+00:00,16.345,16.64,16.184,16.509,24881212.0
2025-11-10 12:00:00+00:00,16.509,16.66,15.972,16.073,18565650.0
2025-11-10 16:00:00+00:00,16.073,16.271,15.923,16.144,6428950.0
2025-11-10 20:00:00+00:00,16.144,16.444,15.954,16.35,13236225.0
2025-11-11 00:00:00+00:00,16.35,16.787,16.165,16.631,29029341.0
2025-11-11 04:00:00+00:00,16.631,16.672,15.971,15.98,19357559.0
2025-11-11 08:00:00+00:00,15.98,16.213,15.949,16.186,16801137.0
2025-11-11 12:00:00+00:00,16.186,16.284,15.698,15.791,20857802.0
2025-11-11 16:00:00+00:00,15.791,15.875,15.575,15.626,9033073.0
2025-11-11 20:00:00+00:00,15.626,15.637,15.235,15.273,10593519.0
2025-11-12 00:00:00+00:00,15.273,15.452,15.177,15.382,15954642.0
2025-11-12 04:00:00+00:00,15.382,15.539,15.297,15.328,24271520.0
