ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,89.43,91.04,85.2,86.12,10883163.0
2025-11-04 08:00:00+00:00,86.12,87.79,85.59,87.04,9886799.0
2025-11-04 12:00:00+00:00,87.04,88.96,85.87,87.44,9226115.0
2025-11-04 16:00:00+00:00,87.44,88.28,82.31,83.45,16933867.0
2025-11-04 20:00:00+00:00,83.45,85.93,79.65,85.18,17239092.0
2025-11-05 00:00:00+00:00,85.18,87.21,81.95,86.96,34299469.0
2025-11-05 04:00:00+00:00,86.96,87.59,86.39,86.99,4361620.0
2025-11-05 08:00:00+00:00,86.99,86.99,85.33,86.53,8177929.0
2025-11-05 12:00:00+00:00,86.53,87.73,85.99,87.72,8997172.0
2025-11-05 16:00:00+00:00,87.72,89.23,86.97,88.94,10080356.0
2025-11-05 20:00:00+00:00,88.94,89.85,88.38,89.34,6689396.0
2025-11-06 00:00:00+00:00,89.34,89.34,87.53,88.51,5113263.0
2025-11-06 04:00:00+00:00,88.51,88.69,86.5,86.75,5757591.0
2025-11-06 08:00:00+00:00,86.75,87.66,86.48,87.35,7603620.0
2025-11-06 12:00:00+00:00,87.35,88.5,86.29,86.57,10742657.0
2025-11-06 16:00:00+00:00,86.57,88.03,85.26,87.42,10646214.0
2025-11-06 20:00:00+00:00,87.42,87.83,86.24,86.94,5278615.0
2025-11-07 00:00:00+00:00,86.94,89.16,86.86,88.97,6755528.0
2025-11-07 04:00:00+00:00,88.97,90.81,88.32,90.68,7141184.0
2025-11-07 08:00:00+00:00,90.68,90.79,86.89,87.9,12156243.0
2025-11-07 12:00:00+00:00,87.9,94.3,85.92,92.99,22024754.0
2025-11-07 16:00:00+00:00,92.99,104.81,92.4,100.51,31291227.0
2025-11-07 20:00:00+00:00,100.51,103.61,99.62,101.93,12493268.0
2025-11-08 00:00:00+00:00,101.93,102.85,100.08,100.85,6985576.0
2025-11-08 04:00:00+00:00,100.85,102.5,98.36,99.87,8551860.0
2025-11-08 08:00:00+00:00,99.87,100.78,98.09,99.72,8902695.0
2025-11-08 12:00:00+00:00,99.72,100.89,98.26,98.62,8739715.0
2025-11-08 16:00:00+00:00,98.62,101.19,98.05,100.58,8389594.0
2025-11-08 20:00:00+00:00,100.58,107.53,100.48,106.82,11678315.0
2025-11-09 00:00:00+00:00,106.82,109.84,99.55,99.93,33412978.0
2025-11-09 04:00:00+00:00,99.93,101.92,99.35,101.48,9097201.0
2025-11-09 08:00:00+00:00,101.48,106.52,98.71,102.0,33245554.0
2025-11-09 12:00:00+00:00,102.0,109.79,100.97,106.71,39803673.0
2025-11-09 16:00:00+00:00,106.71,109.61,104.46,109.43,30309536.0
2025-11-09 20:00:00+00:00,109.43,113.54,108.8,110.21,39484613.0
2025-11-10 00:00:00+00:00,110.21,112.09,107.66,108.33,27448303.0
2025-11-10 04:00:00+00:00,108.33,109.06,107.06,107.21,17208901.0
2025-11-10 08:00:00+00:00,107.21,108.47,106.73,107.06,13740079.0
2025-11-10 12:00:00+00:00,107.06,109.72,105.29,107.37,21182481.0
2025-11-10 16:00:00+00:00,107.37,109.0,106.38,107.52,19103237.0
2025-11-10 20:00:00+00:00,107.52,108.15,103.51,104.19,22796023.0
2025-11-11 00:00:00+00:00,104.19,106.81,102.86,105.15,23422060.0
2025-11-11 04:00:00+00:00,105.15,105.43,102.03,102.09,16333977.0
2025-11-11 08:00:00+00:00,102.09,103.18,101.87,102.61,16893970.0
2025-11-11 12:00:00+00:00,102.61,102.93,99.69,100.97,19946947.0
2025-11-11 16:00:00+00:00,100.97,101.73,99.4,100.12,20518916.0
2025-11-11 20:00:00+00:00,100.12,100.71,98.97,99.59,11323353.0
2025-11-12 00:00:00+00:00,99.59,100.18,98.78,99.38,11814878.0
2025-11-12 04:00:00+00:00,99.38,100.15,99.15,99.54,10499880.0
2025-11-12 08:00:00+00:00,99.54,102.8,99.54,101.97,15719305.0
2025-11-12 12:00:00+00:00,101.97,104.2,99.62,100.01,28364421.0
2025-11-12 16:00:00+00:00,100.01,100.22,94.83,97.09,42519545.0
2025-11-12 20:00:00+00:00,97.09,98.79,96.81,97.55,22507305.0
2025-11-13 00:00:00+00:00,97.55,99.82,97.45,98.97,8204362.0
2025-11-13 04:00:00+00:00,98.97,101.7,98.45,100.55,12153296.0
2025-11-13 08:00:00+00:00,100.55,100.99,98.93,100.19,26524300.0
2025-11-13 12:00:00+00:00,100.19,102.69,98.55,99.37,36201936.0
2025-11-13 16:00:00+00:00,99.37,100.0,93.62,94.92,43775970.0
2025-11-13 20:00:00+00:00,94.92,97.48,94.16,96.51,19072107.0
2025-11-14 00:00:00+00:00,96.51,97.2,95.49,96.28,6453092.0
2025-11-14 04:00:00+00:00,96.28,99.02,93.23,98.13,19211625.0
2025-11-14 08:00:00+00:00,98.13,98.16,95.3,96.07,14521831.0
2025-11-14 12:00:00+00:00,96.07,97.76,93.71,96.85,39166660.0
2025-11-14 16:00:00+00:00,96.85,100.04,95.81,99.9,21982256.0
2025-11-14 20:00:00+00:00,99.9,100.1,96.09,97.65,35010502.0
2025-11-15 00:00:00+00:00,97.65,106.47,97.55,103.98,24974687.0
2025-11-15 04:00:00+00:00,103.98,105.96,102.29,102.71,19375383.0
2025-11-15 08:00:00+00:00,102.71,103.33,101.44,102.74,15452402.0
2025-11-15 12:00:00+00:00,102.74,109.48,102.22,104.15,48925825.0
2025-11-15 16:00:00+00:00,104.15,104.37,102.14,103.3,15679768.0
2025-11-15 20:00:00+00:00,103.3,103.51,101.55,101.69,14451980.0
2025-11-16 00:00:00+00:00,101.69,103.3,99.84,102.44,17684049.0
2025-11-16 04:00:00+00:00,102.44,102.92,101.29,101.99,21435386.0
2025-11-16 08:00:00+00:00,101.99,102.67,100.1,100.54,14082746.0
2025-11-16 12:00:00+00:00,100.54,101.73,97.64,97.77,13750039.0
2025-11-16 16:00:00+00:00,97.77,98.62,95.02,95.86,27842353.0
2025-11-16 20:00:00+00:00,95.86,96.92,94.27,95.68,29483908.0
2025-11-17 00:00:00+00:00,95.68,97.85,95.06,97.04,20654759.0
2025-11-17 04:00:00+00:00,97.04,97.47,96.15,96.98,14458737.0
2025-11-17 08:00:00+00:00,96.98,97.18,95.98,96.48,10654396.0
2025-11-17 12:00:00+00:00,96.48,97.4,93.67,94.61,26103567.0
2025-11-17 16:00:00+00:00,94.61,95.86,91.46,91.91,42986427.0
2025-11-17 20:00:00+00:00,91.91,92.58,90.53,91.2,29977988.0
2025-11-18 00:00:00+00:00,91.2,93.12,90.39,93.04,13905577.0
2025-11-18 04:00:00+00:00,93.04,95.8,91.92,95.41,10437002.0
2025-11-18 08:00:00+00:00,95.41,96.45,94.32,95.22,14656517.0
2025-11-18 12:00:00+00:00,95.22,97.52,94.28,96.33,19228391.0
2025-11-18 16:00:00+00:00,96.33,97.3,94.59,95.06,15274103.0
2025-11-18 20:00:00+00:00,95.06,96.56,94.71,95.61,16857992.0
2025-11-19 00:00:00+00:00,95.61,95.92,94.36,94.44,9795376.0
2025-11-19 04:00:00+00:00,94.44,94.91,92.27,94.42,10817857.0
2025-11-19 08:00:00+00:00,94.42,94.83,93.35,93.43,9912475.0
2025-11-19 12:00:00+00:00,93.43,94.5,91.48,91.66,26755837.0
2025-11-19 16:00:00+00:00,91.66,92.12,88.8,89.86,30943627.0
2025-11-19 20:00:00+00:00,89.86,93.2,89.61,92.85,20970309.0
2025-11-20 00:00:00+00:00,92.85,93.74,92.32,93.18,14221633.0
2025-11-20 04:00:00+00:00,93.18,93.7,92.33,93.09,7239650.0
2025-11-20 08:00:00+00:00,93.09,93.09,92.08,92.57,10302395.0
2025-11-20 12:00:00+00:00,92.57,93.13,90.24,90.34,21206696.0
2025-11-20 16:00:00+00:00,90.34,90.44,85.96,86.99,41842264.0
2025-11-20 20:00:00+00:00,86.99,88.98,86.3,87.2,25496861.0
2025-11-21 00:00:00+00:00,87.2,88.59,86.4,87.04,15076218.0
2025-11-21 04:00:00+00:00,87.04,87.47,80.28,84.57,19170750.0
2025-11-21 08:00:00+00:00,84.57,85.8,81.67,81.73,29021230.0
2025-11-21 12:00:00+00:00,81.73,84.39,80.08,81.92,35645263.0
2025-11-21 16:00:00+00:00,81.92,84.47,80.95,82.92,29123713.0
2025-11-21 20:00:00+00:00,82.92,83.2,80.3,82.61,27330881.0
2025-11-22 00:00:00+00:00,82.61,83.84,82.51,83.2,25876899.0
2025-11-22 04:00:00+00:00,83.2,83.5,81.64,83.15,10265739.0
2025-11-22 08:00:00+00:00,83.15,83.16,81.23,82.85,9471715.0
2025-11-22 12:00:00+00:00,82.85,82.85,80.77,81.46,12812132.0
2025-11-22 16:00:00+00:00,81.46,82.5,81.41,82.02,13554864.0
2025-11-22 20:00:00+00:00,82.02,83.05,81.26,82.07,10827421.0
2025-11-23 00:00:00+00:00,82.07,84.08,81.8,83.63,10328497.0
2025-11-23 04:00:00+00:00,83.63,84.3,82.48,83.09,5410969.0
2025-11-23 08:00:00+00:00,83.09,83.63,82.54,83.04,5714804.0
2025-11-23 12:00:00+00:00,83.04,84.12,82.83,83.69,11004118.0
2025-11-23 16:00:00+00:00,83.69,84.11,82.89,83.79,8658713.0
2025-11-23 20:00:00+00:00,83.79,84.4,82.81,83.03,15787591.0
2025-11-24 00:00:00+00:00,83.03,84.94,82.12,84.14,23720711.0
2025-11-24 04:00:00+00:00,84.14,84.85,82.97,83.83,8272856.0
2025-11-24 08:00:00+00:00,83.83,84.39,82.6,83.17,8059898.0
2025-11-24 12:00:00+00:00,83.17,84.46,82.19,84.15,14624402.0
