ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,1.94,1.948,1.824,1.84,1529392.0
2025-11-04 08:00:00+00:00,1.84,1.912,1.833,1.892,1447900.0
2025-11-04 12:00:00+00:00,1.892,1.939,1.863,1.896,2217994.0
2025-11-04 16:00:00+00:00,1.896,1.91,1.765,1.794,2479195.0
2025-11-04 20:00:00+00:00,1.794,1.854,1.718,1.829,1468028.0
2025-11-05 00:00:00+00:00,1.829,1.866,1.736,1.86,689277.0
2025-11-05 04:00:00+00:00,1.86,1.867,1.839,1.862,522410.0
2025-11-05 08:00:00+00:00,1.862,1.881,1.829,1.878,1170625.0
2025-11-05 12:00:00+00:00,1.878,1.908,1.867,1.908,890605.0
2025-11-05 16:00:00+00:00,1.908,1.955,1.886,1.935,1213171.0
2025-11-05 20:00:00+00:00,1.935,1.97,1.926,1.949,1524359.0
2025-11-06 00:00:00+00:00,1.949,1.95,1.91,1.922,930612.0
2025-11-06 04:00:00+00:00,1.922,1.94,1.888,1.896,2582653.0
2025-11-06 08:00:00+00:00,1.896,1.91,1.886,1.9,416953.0
2025-11-06 12:00:00+00:00,1.9,2.037,1.894,1.968,5130837.0
2025-11-06 16:00:00+00:00,1.968,2.076,1.91,2.065,5426470.0
2025-11-06 20:00:00+00:00,2.065,2.102,2.036,2.094,2815514.0
2025-11-07 00:00:00+00:00,2.094,2.166,2.076,2.149,3546184.0
2025-11-07 04:00:00+00:00,2.149,2.273,2.116,2.241,2769912.0
2025-11-07 08:00:00+00:00,2.241,2.352,2.209,2.276,6246785.0
2025-11-07 12:00:00+00:00,2.276,2.586,2.247,2.518,11245451.0
2025-11-07 16:00:00+00:00,2.518,2.938,2.511,2.794,11773471.0
2025-11-07 20:00:00+00:00,2.794,2.961,2.742,2.766,6061569.0
2025-11-08 00:00:00+00:00,2.766,2.834,2.602,2.689,6021399.0
2025-11-08 04:00:00+00:00,2.689,2.759,2.605,2.66,2391301.0
2025-11-08 08:00:00+00:00,2.66,3.18,2.618,3.004,10832123.0
2025-11-08 12:00:00+00:00,3.004,3.037,2.79,2.81,9719363.0
2025-11-08 16:00:00+00:00,2.81,2.919,2.721,2.843,4146885.0
2025-11-08 20:00:00+00:00,2.843,2.96,2.811,2.932,2226969.0
2025-11-09 00:00:00+00:00,2.932,3.08,2.808,2.819,7300342.0
2025-11-09 04:00:00+00:00,2.819,2.869,2.735,2.781,3226430.0
2025-11-09 08:00:00+00:00,2.781,2.799,2.669,2.727,4940957.0
2025-11-09 12:00:00+00:00,2.727,2.969,2.69,2.882,5174010.0
2025-11-09 16:00:00+00:00,2.882,3.027,2.844,3.024,5885884.0
2025-11-09 20:00:00+00:00,3.024,3.078,2.882,3.076,4151309.0
2025-11-10 00:00:00+00:00,3.076,3.076,2.902,3.012,6247448.0
2025-11-10 04:00:00+00:00,3.012,3.146,2.905,2.978,4448630.0
2025-11-10 08:00:00+00:00,2.978,3.069,2.826,2.88,7234410.0
2025-11-10 12:00:00+00:00,2.88,2.901,2.798,2.842,7492808.0
2025-11-10 16:00:00+00:00,2.842,2.881,2.805,2.846,4494178.0
2025-11-10 20:00:00+00:00,2.846,2.878,2.752,2.784,3075569.0
2025-11-11 00:00:00+00:00,2.784,2.822,2.722,2.816,3623725.0
2025-11-11 04:00:00+00:00,2.816,2.833,2.648,2.66,3440224.0
2025-11-11 08:00:00+00:00,2.66,2.694,2.632,2.663,2408611.0
2025-11-11 12:00:00+00:00,2.663,2.726,2.636,2.708,3962408.0
2025-11-11 16:00:00+00:00,2.708,2.722,2.612,2.62,2408802.0
2025-11-11 20:00:00+00:00,2.62,2.629,2.527,2.547,2222251.0
2025-11-12 00:00:00+00:00,2.547,2.592,2.537,2.574,1013365.0
2025-11-12 04:00:00+00:00,2.574,2.605,2.556,2.563,887910.0
2025-11-12 08:00:00+00:00,2.563,2.661,2.562,2.638,2576016.0
2025-11-12 12:00:00+00:00,2.638,2.657,2.508,2.529,2565065.0
2025-11-12 16:00:00+00:00,2.529,2.54,2.476,2.506,2930178.0
2025-11-12 20:00:00+00:00,2.506,2.572,2.499,2.532,1726715.0
2025-11-13 00:00:00+00:00,2.532,2.58,2.496,2.553,719685.0
2025-11-13 04:00:00+00:00,2.553,2.603,2.535,2.558,768792.0
2025-11-13 08:00:00+00:00,2.558,2.592,2.535,2.538,1714180.0
2025-11-13 12:00:00+00:00,2.538,2.6,2.497,2.518,2393632.0
2025-11-13 16:00:00+00:00,2.518,2.525,2.394,2.407,2886385.0
2025-11-13 20:00:00+00:00,2.407,2.467,2.391,2.446,1672303.0
2025-11-14 00:00:00+00:00,2.446,2.448,2.373,2.388,1248941.0
2025-11-14 04:00:00+00:00,2.388,2.437,2.304,2.397,1965614.0
2025-11-14 08:00:00+00:00,2.397,2.401,2.356,2.374,1178634.0
2025-11-14 12:00:00+00:00,2.374,2.46,2.334,2.44,1832615.0
2025-11-14 16:00:00+00:00,2.44,2.449,2.391,2.438,1478180.0
2025-11-14 20:00:00+00:00,2.438,2.438,2.316,2.354,1409508.0
2025-11-15 00:00:00+00:00,2.354,2.489,2.35,2.477,1141176.0
2025-11-15 04:00:00+00:00,2.477,2.62,2.471,2.532,5334696.0
2025-11-15 08:00:00+00:00,2.532,2.539,2.447,2.487,8488407.0
2025-11-15 12:00:00+00:00,2.487,2.552,2.474,2.478,2074190.0
2025-11-15 16:00:00+00:00,2.478,2.485,2.445,2.452,1637269.0
2025-11-15 20:00:00+00:00,2.452,2.457,2.389,2.405,2201877.0
2025-11-16 00:00:00+00:00,2.405,2.441,2.361,2.441,1401594.0
2025-11-16 04:00:00+00:00,2.441,2.507,2.417,2.473,1623374.0
2025-11-16 08:00:00+00:00,2.473,2.561,2.447,2.481,2608217.0
2025-11-16 12:00:00+00:00,2.481,2.514,2.337,2.339,4173074.0
2025-11-16 16:00:00+00:00,2.339,2.359,2.265,2.273,4868976.0
2025-11-16 20:00:00+00:00,2.273,2.316,2.229,2.288,5926639.0
2025-11-17 00:00:00+00:00,2.288,2.351,2.248,2.313,6785881.0
2025-11-17 04:00:00+00:00,2.313,2.334,2.294,2.318,1776687.0
2025-11-17 08:00:00+00:00,2.318,2.337,2.292,2.308,2630419.0
2025-11-17 12:00:00+00:00,2.308,2.338,2.22,2.271,5627900.0
