ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,167.52,167.99,155.8,157.02,40991809.0
2025-11-04 08:00:00+00:00,157.02,162.16,156.35,161.6,34536882.0
2025-11-04 12:00:00+00:00,161.6,165.2,159.24,161.38,49677822.0
2025-11-04 16:00:00+00:00,161.38,162.29,152.18,154.57,64414437.0
2025-11-04 20:00:00+00:00,154.57,155.81,145.79,154.93,63548596.0
2025-11-05 00:00:00+00:00,154.93,157.26,147.2,156.8,31634062.0
2025-11-05 04:00:00+00:00,156.8,158.42,155.56,156.4,21737840.0
2025-11-05 08:00:00+00:00,156.4,157.55,153.58,157.36,26548909.0
2025-11-05 12:00:00+00:00,157.36,160.43,156.65,160.36,38067371.0
2025-11-05 16:00:00+00:00,160.36,163.76,158.43,162.38,37704942.0
2025-11-05 20:00:00+00:00,162.38,163.84,161.01,162.29,23647267.0
2025-11-06 00:00:00+00:00,162.29,162.87,159.66,162.38,19375996.0
2025-11-06 04:00:00+00:00,162.38,162.71,158.17,158.75,18358528.0
2025-11-06 08:00:00+00:00,158.75,159.88,157.6,158.81,23265897.0
2025-11-06 12:00:00+00:00,158.81,161.43,155.26,155.84,46920709.0
2025-11-06 16:00:00+00:00,155.84,158.59,153.76,156.78,42610615.0
2025-11-06 20:00:00+00:00,156.78,157.72,153.37,155.23,29785208.0
2025-11-07 00:00:00+00:00,155.23,158.52,154.12,156.78,23755933.0
2025-11-07 04:00:00+00:00,156.78,158.2,155.18,157.68,12733783.0
2025-11-07 08:00:00+00:00,157.68,158.09,151.57,153.8,28647247.0
2025-11-07 12:00:00+00:00,153.8,156.19,149.72,155.3,42573832.0
2025-11-07 16:00:00+00:00,155.3,164.39,154.24,164.07,45583968.0
2025-11-07 20:00:00+00:00,164.07,164.3,161.5,161.73,23745259.0
2025-11-08 00:00:00+00:00,161.73,164.81,160.54,162.43,21556536.0
2025-11-08 04:00:00+00:00,162.43,163.61,159.48,160.96,15333408.0
2025-11-08 08:00:00+00:00,160.96,162.26,159.04,159.3,14396049.0
2025-11-08 12:00:00+00:00,159.3,159.63,155.82,156.61,24621735.0
2025-11-08 16:00:00+00:00,156.61,158.09,155.72,157.23,18957631.0
2025-11-08 20:00:00+00:00,157.23,158.34,157.08,157.92,11924990.0
2025-11-09 00:00:00+00:00,157.92,158.22,155.06,155.82,16568979.0
2025-11-09 04:00:00+00:00,155.82,159.49,155.78,159.19,13473590.0
2025-11-09 08:00:00+00:00,159.19,159.88,157.16,158.99,20135144.0
2025-11-09 12:00:00+00:00,158.99,163.91,158.51,162.47,36264054.0
2025-11-09 16:00:00+00:00,162.47,166.25,161.13,166.07,29488018.0
2025-11-09 20:00:00+00:00,166.07,166.52,163.84,164.47,20007830.0
2025-11-10 00:00:00+00:00,164.47,168.64,163.32,167.99,26043348.0
2025-11-10 04:00:00+00:00,167.99,168.8,166.29,167.29,18734930.0
2025-11-10 08:00:00+00:00,167.29,169.75,165.99,168.21,22148579.0
2025-11-10 12:00:00+00:00,168.21,170.41,165.03,166.15,39323802.0
2025-11-10 16:00:00+00:00,166.15,168.37,165.12,167.12,32202021.0
2025-11-10 20:00:00+00:00,167.12,168.48,164.67,167.25,26712247.0
2025-11-11 00:00:00+00:00,167.25,171.83,165.88,169.84,24359321.0
2025-11-11 04:00:00+00:00,169.84,170.01,163.5,163.89,21626383.0
2025-11-11 08:00:00+00:00,163.89,164.86,162.64,163.57,20228780.0
2025-11-11 12:00:00+00:00,163.57,164.29,159.99,160.82,33295680.0
2025-11-11 16:00:00+00:00,160.82,161.18,157.31,157.5,29870915.0
2025-11-11 20:00:00+00:00,157.5,157.79,153.71,154.5,39755778.0
2025-11-12 00:00:00+00:00,154.5,155.5,153.47,154.46,22290379.0
2025-11-12 04:00:00+00:00,154.46,156.45,154.08,154.91,14096260.0
2025-11-12 08:00:00+00:00,154.91,161.04,154.88,159.95,28678770.0
2025-11-12 12:00:00+00:00,159.95,161.02,155.13,155.69,44618266.0
2025-11-12 16:00:00+00:00,155.69,156.2,151.09,152.94,49384655.0
2025-11-12 20:00:00+00:00,152.94,154.57,152.39,153.29,20797670.0
2025-11-13 00:00:00+00:00,153.29,155.73,150.33,154.21,25501893.0
2025-11-13 04:00:00+00:00,154.21,157.15,153.29,155.25,24160893.0
2025-11-13 08:00:00+00:00,155.25,156.46,153.78,156.19,20070126.0
2025-11-13 12:00:00+00:00,156.19,156.85,152.17,153.06,36963147.0
2025-11-13 16:00:00+00:00,153.06,153.3,141.87,142.63,61891660.0
2025-11-13 20:00:00+00:00,142.63,146.1,140.93,144.6,41247783.0
2025-11-14 00:00:00+00:00,144.6,145.6,142.65,144.2,21752687.0
2025-11-14 04:00:00+00:00,144.2,144.41,138.62,142.75,31282878.0
2025-11-14 08:00:00+00:00,142.75,143.12,139.76,140.72,26463143.0
2025-11-14 12:00:00+00:00,140.72,143.66,135.73,142.17,57305607.0
2025-11-14 16:00:00+00:00,142.17,144.16,140.47,143.08,41606044.0
2025-11-14 20:00:00+00:00,143.08,143.2,137.11,138.85,36291023.0
2025-11-15 00:00:00+00:00,138.85,143.3,138.67,142.45,20483289.0
2025-11-15 04:00:00+00:00,142.45,143.51,141.77,142.66,16184298.0
2025-11-15 08:00:00+00:00,142.66,142.76,139.86,140.12,22536399.0
2025-11-15 12:00:00+00:00,140.12,142.19,139.9,141.65,18824751.0
2025-11-15 16:00:00+00:00,141.65,144.63,140.71,141.69,20438157.0
2025-11-15 20:00:00+00:00,141.69,141.89,138.5,139.55,28442082.0
2025-11-16 00:00:00+00:00,139.55,141.42,137.3,141.32,19623621.0
2025-11-16 04:00:00+00:00,141.32,142.4,140.63,142.22,11210971.0
2025-11-16 08:00:00+00:00,142.22,143.28,139.46,139.87,19175564.0
2025-11-16 12:00:00+00:00,139.87,140.8,137.03,137.36,37413103.0
2025-11-16 16:00:00+00:00,137.36,138.43,134.33,136.78,55163135.0
2025-11-16 20:00:00+00:00,136.78,138.11,134.78,137.11,27985125.0
2025-11-17 00:00:00+00:00,137.11,140.59,136.03,140.21,27812106.0
2025-11-17 04:00:00+00:00,140.21,141.8,139.61,141.25,20614542.0
2025-11-17 08:00:00+00:00,141.25,142.73,140.86,141.8,34446271.0
2025-11-17 12:00:00+00:00,141.8,143.23,136.7,137.03,47411858.0
2025-11-17 16:00:00+00:00,137.03,137.1,129.32,129.55,68683584.0
2025-11-17 20:00:00+00:00,129.55,131.9,128.7,130.9,33015224.0
2025-11-18 00:00:00+00:00,130.9,135.18,128.93,134.47,28254166.0
2025-11-18 04:00:00+00:00,134.47,137.76,132.44,136.83,32949169.0
2025-11-18 08:00:00+00:00,136.83,139.0,136.36,137.77,27419205.0
2025-11-18 12:00:00+00:00,137.77,142.11,136.7,139.6,43235533.0
2025-11-18 16:00:00+00:00,139.6,142.06,138.67,141.38,43596214.0
2025-11-18 20:00:00+00:00,141.38,142.05,139.56,140.6,23760101.0
2025-11-19 00:00:00+00:00,140.6,142.75,139.21,139.7,23599769.0
2025-11-19 04:00:00+00:00,139.7,141.05,137.06,140.49,19670212.0
2025-11-19 08:00:00+00:00,140.49,140.96,138.31,138.5,20867108.0
2025-11-19 12:00:00+00:00,138.5,139.13,134.31,134.53,38725875.0
2025-11-19 16:00:00+00:00,134.53,135.36,130.44,131.65,52563907.0
2025-11-19 20:00:00+00:00,131.65,136.98,131.26,136.96,35238482.0
2025-11-20 00:00:00+00:00,136.96,144.4,136.26,143.13,33313953.0
2025-11-20 04:00:00+00:00,143.13,144.75,142.15,143.73,22954423.0
2025-11-20 08:00:00+00:00,143.73,143.94,141.05,142.06,24275414.0
2025-11-20 12:00:00+00:00,142.06,143.25,138.04,138.49,43608068.0
2025-11-20 16:00:00+00:00,138.49,138.7,131.04,133.81,66280925.0
2025-11-20 20:00:00+00:00,133.81,136.58,132.54,133.62,51790981.0
2025-11-21 00:00:00+00:00,133.62,135.02,131.01,132.56,29762324.0
2025-11-21 04:00:00+00:00,132.56,133.04,121.47,127.43,44375971.0
2025-11-21 08:00:00+00:00,127.43,129.32,123.66,124.25,59980236.0
2025-11-21 12:00:00+00:00,124.25,129.5,121.6,125.34,75134350.0
2025-11-21 16:00:00+00:00,125.34,130.53,123.5,128.04,53189783.0
2025-11-21 20:00:00+00:00,128.04,129.28,125.0,128.61,41506488.0
2025-11-22 00:00:00+00:00,128.61,129.87,126.72,127.08,32749822.0
2025-11-22 04:00:00+00:00,127.08,128.31,125.23,127.65,29549306.0
2025-11-22 08:00:00+00:00,127.65,127.65,125.28,126.6,32715258.0
2025-11-22 12:00:00+00:00,126.6,127.72,125.0,127.06,35288065.0
2025-11-22 16:00:00+00:00,127.06,128.55,126.7,127.13,43559401.0
2025-11-22 20:00:00+00:00,127.13,128.86,126.01,127.53,30110882.0
2025-11-23 00:00:00+00:00,127.53,130.71,127.47,129.86,26784257.0
2025-11-23 04:00:00+00:00,129.86,131.84,128.03,128.81,23627905.0
2025-11-23 08:00:00+00:00,128.81,131.07,128.73,129.67,29766254.0
