ts,open,high,low,close,volume
2025-11-04 04:00:00+00:00,5.263,5.279,5.027,5.059,4328889.0
2025-11-04 08:00:00+00:00,5.059,5.236,5.044,5.208,2812197.0
2025-11-04 12:00:00+00:00,5.208,5.258,5.087,5.15,2573430.0
2025-11-04 16:00:00+00:00,5.15,5.196,4.878,4.943,5266213.0
2025-11-04 20:00:00+00:00,4.943,5.132,4.732,5.07,2643980.0
2025-11-05 00:00:00+00:00,5.07,5.188,4.873,5.178,1141955.0
2025-11-05 04:00:00+00:00,5.178,5.222,5.147,5.218,559965.0
2025-11-05 08:00:00+00:00,5.218,5.281,5.118,5.274,3264625.0
2025-11-05 12:00:00+00:00,5.274,5.369,5.233,5.368,2492393.0
2025-11-05 16:00:00+00:00,5.368,5.489,5.317,5.449,1782221.0
2025-11-05 20:00:00+00:00,5.449,5.483,5.326,5.342,2846537.0
2025-11-06 00:00:00+00:00,5.342,5.37,5.256,5.334,2756710.0
2025-11-06 04:00:00+00:00,5.334,5.359,5.233,5.245,16485662.0
2025-11-06 08:00:00+00:00,5.245,5.3,5.235,5.283,796765.0
2025-11-06 12:00:00+00:00,5.283,5.335,5.177,5.195,2086508.0
2025-11-06 16:00:00+00:00,5.195,5.303,5.102,5.287,2263263.0
2025-11-06 20:00:00+00:00,5.287,5.308,5.212,5.249,2175323.0
2025-11-07 00:00:00+00:00,5.249,5.374,5.242,5.33,854983.0
2025-11-07 04:00:00+00:00,5.33,5.473,5.29,5.467,1135849.0
2025-11-07 08:00:00+00:00,5.467,5.494,5.298,5.371,1713218.0
2025-11-07 12:00:00+00:00,5.371,5.591,5.25,5.571,2372155.0
2025-11-07 16:00:00+00:00,5.571,5.942,5.553,5.905,6124597.0
2025-11-07 20:00:00+00:00,5.905,5.997,5.853,5.871,663954.0
2025-11-08 00:00:00+00:00,5.871,6.119,5.805,6.049,8798401.0
2025-11-08 04:00:00+00:00,6.049,6.081,5.881,5.991,3565956.0
2025-11-08 08:00:00+00:00,5.991,6.135,5.944,6.089,3472576.0
2025-11-08 12:00:00+00:00,6.089,6.101,5.909,5.988,2280203.0
2025-11-08 16:00:00+00:00,5.988,6.024,5.906,6.018,2558759.0
2025-11-08 20:00:00+00:00,6.018,6.051,5.963,6.006,907540.0
2025-11-09 00:00:00+00:00,6.006,6.007,5.798,5.817,1729960.0
2025-11-09 04:00:00+00:00,5.817,5.945,5.811,5.935,589987.0
2025-11-09 08:00:00+00:00,5.935,6.419,5.854,6.378,2886445.0
2025-11-09 12:00:00+00:00,6.378,6.648,6.315,6.515,4619061.0
2025-11-09 16:00:00+00:00,6.515,6.771,6.498,6.762,7424990.0
2025-11-09 20:00:00+00:00,6.762,6.762,6.552,6.57,2880028.0
2025-11-10 00:00:00+00:00,6.57,6.71,6.545,6.707,1009175.0
2025-11-10 04:00:00+00:00,6.707,6.795,6.646,6.738,1795377.0
2025-11-10 08:00:00+00:00,6.738,7.194,6.697,7.131,6520003.0
2025-11-10 12:00:00+00:00,7.131,7.149,6.792,6.965,4870125.0
2025-11-10 16:00:00+00:00,6.965,7.297,6.904,7.156,3089172.0
2025-11-10 20:00:00+00:00,7.156,10.033,7.138,9.336,113092056.0
2025-11-11 00:00:00+00:00,9.336,10.299,9.078,9.305,99365027.0
2025-11-11 04:00:00+00:00,9.305,9.345,8.348,8.449,41886773.0
2025-11-11 08:00:00+00:00,8.449,8.718,8.159,8.629,32470492.0
2025-11-11 12:00:00+00:00,8.629,9.35,8.361,8.987,53764813.0
2025-11-11 16:00:00+00:00,8.987,9.18,8.523,8.668,32933494.0
2025-11-11 20:00:00+00:00,8.668,8.696,8.154,8.234,23635606.0
2025-11-12 00:00:00+00:00,8.234,8.827,8.229,8.71,17252220.0
2025-11-12 04:00:00+00:00,8.71,8.857,8.379,8.406,15331177.0
2025-11-12 08:00:00+00:00,8.406,8.808,8.406,8.649,19213379.0
2025-11-12 12:00:00+00:00,8.649,8.656,7.74,7.826,24389023.0
2025-11-12 16:00:00+00:00,7.826,7.969,7.538,7.552,12433494.0
2025-11-12 20:00:00+00:00,7.552,7.739,7.472,7.562,5607781.0
2025-11-13 00:00:00+00:00,7.562,8.19,7.526,7.918,8202605.0
2025-11-13 04:00:00+00:00,7.918,8.142,7.83,7.866,6453949.0
2025-11-13 08:00:00+00:00,7.866,8.091,7.807,7.924,4792433.0
2025-11-13 12:00:00+00:00,7.924,8.128,7.629,7.924,7941881.0
2025-11-13 16:00:00+00:00,7.924,8.015,7.511,7.576,11107292.0
2025-11-13 20:00:00+00:00,7.576,7.836,7.461,7.748,8067234.0
2025-11-14 00:00:00+00:00,7.748,7.795,7.484,7.592,4430087.0
2025-11-14 04:00:00+00:00,7.592,7.637,7.224,7.517,3802774.0
2025-11-14 08:00:00+00:00,7.517,7.524,7.133,7.221,6025871.0
2025-11-14 12:00:00+00:00,7.221,7.318,6.972,7.265,6106694.0
2025-11-14 16:00:00+00:00,7.265,7.35,7.032,7.219,3689105.0
2025-11-14 20:00:00+00:00,7.219,7.219,6.926,6.98,3140967.0
2025-11-15 00:00:00+00:00,6.98,7.457,6.973,7.422,4128941.0
2025-11-15 04:00:00+00:00,7.422,7.55,7.365,7.5,7913786.0
2025-11-15 08:00:00+00:00,7.5,7.501,7.257,7.296,2137392.0
2025-11-15 12:00:00+00:00,7.296,7.519,7.281,7.463,3938936.0
2025-11-15 16:00:00+00:00,7.463,7.644,7.362,7.497,12832874.0
2025-11-15 20:00:00+00:00,7.497,7.497,7.341,7.354,6751306.0
2025-11-16 00:00:00+00:00,7.354,7.449,7.2,7.412,5630249.0
2025-11-16 04:00:00+00:00,7.412,7.867,7.356,7.855,7401051.0
2025-11-16 08:00:00+00:00,7.855,7.914,7.567,7.576,6143909.0
2025-11-16 12:00:00+00:00,7.576,7.644,7.324,7.328,8323765.0
2025-11-16 16:00:00+00:00,7.328,7.385,7.15,7.187,6466146.0
2025-11-16 20:00:00+00:00,7.187,7.233,6.982,7.174,5138363.0
2025-11-17 00:00:00+00:00,7.174,7.392,7.107,7.351,2348552.0
2025-11-17 04:00:00+00:00,7.351,8.099,7.327,8.096,18896514.0
2025-11-17 08:00:00+00:00,8.096,8.144,7.744,8.013,15117835.0
2025-11-17 12:00:00+00:00,8.013,8.088,7.678,7.774,20504608.0
2025-11-17 16:00:00+00:00,7.774,7.776,7.096,7.148,11747857.0
2025-11-17 20:00:00+00:00,7.148,7.461,7.086,7.415,16634753.0
2025-11-18 00:00:00+00:00,7.415,7.584,7.251,7.515,12031234.0
2025-11-18 04:00:00+00:00,7.515,7.521,7.182,7.377,5686085.0
2025-11-18 08:00:00+00:00,7.377,7.475,7.26,7.356,8891065.0
